date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
825,WYOMING,NEW-MEXICO-STATE,29,7,-258,213,-6,46
825,HAWAII,COLORADO-STATE,43,34,711,-1100,17,58
830,CENTRAL-FLORIDA,CONNECTICUT,56,17,-2000,1203,-24,68
830,NORTHWESTERN,PURDUE,31,27,-105,-115,1,49
830,NEW-MEXICO-STATE,MINNESOTA,10,48,947,-1700,21,49
830,WAKE-FOREST,TULANE,23,17,-295,241,-7,55
831,UTAH-STATE,MICHIGAN-STATE,31,38,1175,-2500,23,51
831,SYRACUSE,WESTERN-MICHIGAN,55,42,-200,170,-4,65
831,COLORADO-STATE,COLORADO,13,45,203,-245,7,65
831,SAN-DIEGO-STATE,STANFORD,10,31,447,-600,14,48
831,ARMY,DUKE,14,34,384,-500,13,46
901,FLORIDA-ATLANTIC,OKLAHOMA,14,63,711,-1100,18,66
901,HOUSTON,RICE,45,27,-2800,1243,-25,56
901,APPALACHIAN-STATE,PENN-STATE,38,45,1198,-2600,24,53
901,MASSACHUSETTS,BOSTON-COLLEGE,21,55,837,-1400,20,62
901,KENT-STATE,ILLINOIS,24,31,755,-1200,18,57
901,TEXAS-STATE,RUTGERS,7,35,492,-675,16,47
901,INDIANA,FLORIDA-INTERNATIONAL,38,28,-499,383,-13,56
901,NORTHERN-ILLINOIS,IOWA,7,33,274,-340,10,46
901,TEXAS,MARYLAND,29,34,-448,350,-12,54
901,BOISE-STATE,TROY,56,20,-315,256,-8,48
901,LOUISIANA-TECH,SOUTH-ALABAMA,30,26,-400,317,-11,53
901,MARSHALL,MIAMI-OH,35,28,100,-120,1,51
901,SOUTHERN-METHODIST,NORTH-TEXAS,23,46,130,-150,3,71
901,MIDDLE-TENNESSEE-STATE,VANDERBILT,7,35,135,-155,3,56
901,BRIGHAM-YOUNG,ARIZONA,28,23,331,-420,11,58
901,TEXAS-SAN-ANTONIO,ARIZONA-STATE,7,49,755,-1200,18,52
901,NEVADA-LAS-VEGAS,SOUTHERN-CALIFORNIA,21,43,1322,-3200,27,58
901,CINCINNATI,UCLA,26,17,447,-600,14,63
901,WASHINGTON,AUBURN,16,21,-101,-119,1,50
901,CENTRAL-MICHIGAN,KENTUCKY,20,35,562,-800,17,50
901,MISSISSIPPI,TEXAS-TECH,47,27,-135,115,-2,72
901,WEST-VIRGINIA,TENNESSEE,40,14,-365,292,-10,58
901,NORTH-CAROLINA,CALIFORNIA,17,24,200,-240,7,57
901,WASHINGTON-STATE,WYOMING,41,19,-155,135,-3,45
901,OLD-DOMINION,LIBERTY,10,52,-205,172,-5,58
901,MICHIGAN,NOTRE-DAME,17,24,-150,130,-3,48
901,LOUISVILLE,ALABAMA,14,51,1041,-2000,22,60
901,NAVY,HAWAII,41,59,-500,384,-13,61
902,MIAMI-FL,LOUISIANA-STATE,17,33,-155,135,-3,47
903,VIRGINIA-TECH,FLORIDA-STATE,24,3,262,-324,7,54
907,TEXAS-CHRISTIAN,SOUTHERN-METHODIST,42,12,-1700,1100,-23,60
908,LIBERTY,ARMY,14,38,240,-280,7,57
908,ALABAMA-BIRMINGHAM,COASTAL-CAROLINA,24,47,-340,280,-8,54
908,GEORGIA-TECH,SOUTH-FLORIDA,38,49,-155,135,-3,59
908,WESTERN-MICHIGAN,MICHIGAN,3,49,3000,-7000,27,55
908,APPALACHIAN-STATE,CHARLOTTE,45,9,-630,465,-15,48
908,EASTERN-MICHIGAN,PURDUE,20,19,475,-650,16,51
