date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
1022,MIDDLE-TENNESSEE-STATE,MISSOURI,51,45,280,-340,9.5,71
1022,GEORGIA-SOUTHERN,NEW-MEXICO-STATE,22,19,-550,425,-14,65
1022,UTAH,UCLA,52,45,145,-165,3.5,42
1022,MISSISSIPPI,LOUISIANA-STATE,21,38,290,-350,8.5,60
1022,ARKANSAS,AUBURN,3,56,330,-400,10.5,52
1022,OHIO-STATE,PENN-STATE,21,24,-1100,700,-17.5,55
1022,TEXAS-AM,ALABAMA,14,33,750,-1200,18.5,59
1022,COLORADO-STATE,NEVADA-LAS-VEGAS,42,23,110,-130,1.5,56
1022,FRESNO-STATE,UTAH-STATE,20,38,900,-1600,20.5,51
1027,OHIO,TOLEDO,31,26,525,-700,15,57
1027,AKRON,BUFFALO,20,41,-1200,800,-19.5,62
1027,VIRGINIA-TECH,PITTSBURGH,39,36,-163,144,-3.5,54
1027,APPALACHIAN-STATE,GEORGIA-SOUTHERN,34,10,-270,220,-6.5,46
1027,CALIFORNIA,SOUTHERN-CALIFORNIA,24,45,800,-1300,20,74
1028,NAVY,SOUTH-FLORIDA,45,52,200,-240,6,65
1028,SAN-DIEGO-STATE,UTAH-STATE,40,13,-205,175,-4.5,45
1028,AIR-FORCE,FRESNO-STATE,31,21,-900,600,-16.5,51
1029,MIAMI-OH,EASTERN-MICHIGAN,28,15,210,-260,7,49
1029,CONNECTICUT,EAST-CAROLINA,3,41,220,-270,6.5,54
1029,MIDDLE-TENNESSEE-STATE,FLORIDA-INTERNATIONAL,42,35,-900,600,-17.5,62
1029,WESTERN-KENTUCKY,FLORIDA-ATLANTIC,52,3,-1300,800,-21,66
1029,CINCINNATI,TEMPLE,13,34,285,-350,9,52
1029,ARMY,WAKE-FOREST,21,13,230,-290,7,41
1029,MINNESOTA,ILLINOIS,40,17,-335,270,-8.5,46
1029,TEXAS-TECH,TEXAS-CHRISTIAN,27,24,285,-350,9.5,87
1029,PENN-STATE,PURDUE,62,24,-625,475,-14.5,58
1029,MARYLAND,INDIANA,36,42,150,-170,3.5,55
1029,GEORGIA-STATE,SOUTH-ALABAMA,10,13,170,-200,4.5,47
1029,KENT-STATE,CENTRAL-MICHIGAN,27,24,355,-440,11.5,43
1029,CLEMSON,FLORIDA-STATE,37,34,-230,190,-4.5,59
1029,KANSAS-STATE,IOWA-STATE,31,26,-240,200,-6,50
1029,BOSTON-COLLEGE,NORTH-CAROLINA-STATE,21,14,430,-550,13.5,42
1029,WEST-VIRGINIA,OKLAHOMA-STATE,20,37,-203,173,-4.5,65
1029,MIAMI-FL,NOTRE-DAME,27,30,122,-142,2.5,58
1029,BAYLOR,TEXAS,34,35,-177,157,-3.5,73
1029,TULSA,MEMPHIS,59,30,210,-260,6,75
1029,SOUTHERN-METHODIST,TULANE,35,31,-125,105,-1.5,48
1029,WASHINGTON-STATE,OREGON-STATE,35,31,-600,460,-14,55
1029,STANFORD,ARIZONA,34,10,-161,141,-4,50
1029,NORTHWESTERN,OHIO-STATE,20,24,1400,-4000,26,53
1029,NEBRASKA,WISCONSIN,17,23,275,-340,9,44
1029,MARSHALL,SOUTHERN-MISSISSIPPI,14,24,580,-830,17,67
1029,DUKE,GEORGIA-TECH,35,38,225,-275,7,50
1029,GEORGIA,FLORIDA,10,24,225,-275,6.5,42
1029,AUBURN,MISSISSIPPI,40,29,-205,175,-4.5,65
1029,TENNESSEE,SOUTH-CAROLINA,21,24,-1000,700,-14.5,51
1029,CENTRAL-FLORIDA,HOUSTON,24,31,260,-325,9,59
1029,RICE,LOUISIANA-TECH,16,61,1769,-4000,29.5,68
1029,BOISE-STATE,WYOMING,28,30,-725,525,-14.5,63
1029,NORTH-TEXAS,TEXAS-SAN-ANTONIO,17,31,155,-175,4,51
1029,KENTUCKY,MISSOURI,35,21,240,-300,8.5,68
1029,LOUISIANA-MONROE,ARKANSAS-STATE,10,51,800,-1300,21,55
1029,OLD-DOMINION,TEXAS-EL-PASO,31,21,-230,190,-5,54
1029,MICHIGAN,MICHIGAN-STATE,32,23,-3000,1400,-24.5,50
1029,WASHINGTON,UTAH,31,24,-420,340,-10.5,52
1029,ARIZONA-STATE,OREGON,35,54,295,-360,9.5,73
1029,NEVADA-LAS-VEGAS,SAN-JOSE-STATE,24,30,-159,139,-3,55
1029,NEW-MEXICO,HAWAII,28,21,117,-137,2.5,65
1101,BOWLING-GREEN-STATE,NORTHERN-ILLINOIS,20,45,550,-750,17,72
1101,WESTERN-MICHIGAN,BALL-STATE,52,20,-1000,700,-17.5,64
1102,TOLEDO,AKRON,48,17,-415,335,-10.5,72
1103,BUFFALO,OHIO,10,34,700,-1000,18.5,52
1103,ARKANSAS-STATE,GEORGIA-STATE,31,16,-174,154,-4.5,47
1103,OKLAHOMA,IOWA-STATE,34,24,-2000,1000,-21,71
1103,UCLA,COLORADO,10,20,500,-650,13.5,57
1104,CENTRAL-MICHIGAN,MIAMI-OH,17,37,101,-121,1,47
1104,TEMPLE,CONNECTICUT,21,0,-420,340,-10.5,44
1105,NAVY,NOTRE-DAME,28,27,270,-330,7.5,62
1105,BRIGHAM-YOUNG,CINCINNATI,20,3,-330,270,-7.5,54
1105,AIR-FORCE,ARMY,31,12,-110,-110,0,46
1105,LOUISVILLE,BOSTON-COLLEGE,52,7,-3500,1300,-25,51
1105,PURDUE,MINNESOTA,31,44,650,-1000,18.5,52
1105,VIRGINIA-TECH,DUKE,24,21,-500,400,-13,55
1105,SYRACUSE,CLEMSON,0,54,2000,-4000,28,69
1105,KANSAS,WEST-VIRGINIA,21,48,8000,-21500,31.5,54
1105,INDIANA,RUTGERS,33,27,-550,425,-13.5,58
1105,MICHIGAN-STATE,ILLINOIS,27,31,-360,300,-10,48
1105,FLORIDA-STATE,NORTH-CAROLINA-STATE,24,20,-260,220,-6.5,58
1105,MARYLAND,MICHIGAN,3,59,4500,-11000,29.5,54
