date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u,a_first_downs,a_opponents_first_downs,a_fumbles_lost,a_opponents_fumbles_lost,a_interceptions,a_opponents_interceptions,a_pass_attempts,a_opponents_pass_attempts,a_pass_completions,a_opponents_pass_completions,a_pass_touchdowns,a_opponents_pass_touchdowns,a_pass_yards,a_opponents_pass_yards,a_penalties,a_opponents_penalties,a_points_against_per_game,a_points_per_game,a_rush_attempts,a_opponents_rush_attempts,a_rush_touchdowns,a_opponents_rush_touchdowns,a_rush_yards,a_opponents_rush_yards,a_yards,a_opponents_yards,a_turnovers,a_opponents_turnovers,a_yards_from_penalties,a_opponents_yards_from_penalties,a_pass_completion_percentage,a_opponents_pass_completion_percentage,a_pass_yards_per_attempt,a_opponents_pass_yards_per_attempt,a_plays,a_opponents_plays,a_points_per_play,a_opponents_points_per_play,a_rush_yards_per_attempt,a_opponents_rush_yards_per_attempt,a_yards_per_play,a_opponents_yards_per_play,a_acc,a_american,a_big-12,a_big-ten,a_cusa,a_mac,a_mwc,a_pac-12,a_sec,a_sun-belt,a_simple_rating_system,a_strength_of_schedule,h_first_downs,h_opponents_first_downs,h_fumbles_lost,h_opponents_fumbles_lost,h_interceptions,h_opponents_interceptions,h_pass_attempts,h_opponents_pass_attempts,h_pass_completions,h_opponents_pass_completions,h_pass_touchdowns,h_opponents_pass_touchdowns,h_pass_yards,h_opponents_pass_yards,h_penalties,h_opponents_penalties,h_points_against_per_game,h_points_per_game,h_rush_attempts,h_opponents_rush_attempts,h_rush_touchdowns,h_opponents_rush_touchdowns,h_rush_yards,h_opponents_rush_yards,h_yards,h_opponents_yards,h_turnovers,h_opponents_turnovers,h_yards_from_penalties,h_opponents_yards_from_penalties,h_pass_completion_percentage,h_opponents_pass_completion_percentage,h_pass_yards_per_attempt,h_opponents_pass_yards_per_attempt,h_plays,h_opponents_plays,h_points_per_play,h_opponents_points_per_play,h_rush_yards_per_attempt,h_opponents_rush_yards_per_attempt,h_yards_per_play,h_opponents_yards_per_play,h_acc,h_american,h_big-12,h_big-ten,h_cusa,h_mac,h_mwc,h_pac-12,h_sec,h_sun-belt,h_simple_rating_system,h_strength_of_schedule
08-26,CALIFORNIA,HAWAII,51,31,-2000,1000,-21.0,66,26.2,22.2,0.7,0.9,1.1,1.2,42.3,30.9,27.1,18.4,3.4,1.5,375.9,243.9,5.2,6.7,30.7,37.9,33.8,43.5,1.2,1.8,152.8,209.8,528.8,453.7,1.8,2.1,43.7,63.5,0.640661938534279,0.5954692556634305,8.886524822695035,7.893203883495146,76.1,61.8,0.4980289093298292,0.4967637540453075,4.5207100591715985,4.8229885057471265,6.948751642575559,7.341423948220065,0,0,0,0,0,0,0,1,0,0,9.54,4.92,16.5,25.2,1.0,0.6,1.6,0.2,32.5,28.0,15.5,17.2,0.9,1.6,192.4,208.9,8.2,6.8,35.6,17.6,32.6,52.8,1.2,2.5,123.9,240.2,316.3,449.1,2.6,0.8,69.0,61.8,0.47692307692307695,0.6142857142857142,5.92,7.460714285714286,65.1,56.0,0.2703533026113672,0.6357142857142858,3.8006134969325154,4.549242424242424,4.85867895545315,8.019642857142857,0,0,0,0,0,0,1,0,0,0,-14.63,-2.71
09-01,INDIANA,FLORIDA-INTERNATIONAL,34,13,-380,315,-10.0,64,25.9,25.1,0.5,0.8,0.6,0.9,35.5,42.4,20.7,25.2,2.1,2.2,293.8,313.8,7.0,6.4,37.6,36.5,45.5,37.5,2.1,2.2,210.5,195.7,504.3,509.5,1.1,1.7,59.8,59.9,0.5830985915492958,0.5943396226415094,8.27605633802817,7.400943396226416,81.0,84.8,0.4506172839506173,0.44339622641509435,4.626373626373627,5.218666666666667,6.225925925925926,6.008254716981132,0,0,0,1,0,0,0,0,0,0,2.26,3.03,18.9,22.7,0.6,0.8,0.7,0.8,36.7,31.0,22.9,19.3,1.8,1.4,237.8,221.0,5.8,6.2,29.8,25.5,32.1,40.1,1.3,2.0,109.9,185.1,347.8,406.1,1.3,1.5,49.5,53.2,0.6239782016348773,0.6225806451612903,6.479564032697548,7.129032258064516,68.80000000000001,62.0,0.37063953488372087,0.4806451612903226,3.4236760124610592,4.615960099750623,5.055232558139534,6.550000000000001,0,0,0,0,1,0,0,0,0,0,-8.79,-8.12
09-01,TULANE,WAKE-FOREST,3,7,450,-600,14.0,43,16.3,21.3,0.4,0.7,0.8,0.7,33.6,27.8,17.1,16.9,1.5,1.7,201.3,233.4,5.8,6.6,36.3,19.7,33.1,43.2,0.9,2.3,115.8,178.8,317.0,412.3,1.3,1.3,53.4,62.3,0.5089285714285714,0.6079136690647481,5.991071428571429,8.39568345323741,66.7,55.6,0.2953523238380809,0.6528776978417266,3.498489425981873,4.138888888888889,4.752623688155921,7.41546762589928,0,1,0,0,0,0,0,0,0,0,-13.59,-2.42,18.9,18.1,0.5,0.4,1.5,0.5,34.8,26.8,19.7,16.6,1.1,1.4,228.3,202.5,5.1,7.0,24.6,17.4,34.8,38.5,1.0,1.3,105.7,161.8,333.9,364.3,2.0,0.9,46.9,62.3,0.5660919540229885,0.6194029850746269,6.560344827586208,7.5559701492537314,69.6,53.6,0.25,0.458955223880597,3.0373563218390807,4.202597402597403,4.797413793103448,6.7966417910447765,1,0,0,0,0,0,0,0,0,0,-3.7,3.55
09-01,RICE,WESTERN-KENTUCKY,14,46,675,-1050,19.0,65,22.8,20.3,1.1,0.7,0.8,0.2,31.1,25.8,17.7,15.4,1.7,2.8,224.3,257.2,7.0,4.9,35.8,26.1,44.3,37.0,1.8,1.8,178.1,190.3,402.3,447.4,1.8,0.8,62.7,46.9,0.5691318327974276,0.5968992248062015,7.212218649517685,9.968992248062015,75.4,51.6,0.34615384615384615,0.693798449612403,4.020316027088036,5.143243243243243,5.335543766578249,8.670542635658913,0,0,0,0,1,0,0,0,0,0,-11.63,-7.05,24.9,20.6,0.6,1.0,0.6,1.2,39.6,33.6,28.4,18.1,3.6,2.0,372.2,239.2,5.9,5.3,25.9,44.3,33.1,37.5,2.1,1.2,154.6,164.4,526.9,403.6,1.2,2.2,57.8,46.3,0.7171717171717171,0.5386904761904762,9.398989898989898,7.119047619047619,72.7,67.2,0.6093535075653369,0.38541666666666663,4.670694864048338,4.384,7.247592847317743,6.005952380952381,0,0,0,0,1,0,0,0,0,0,9.62,-4.02
09-01,SOUTH-CAROLINA,VANDERBILT,13,10,180,-220,5.0,40,18.0,21.9,0.3,0.7,1.0,1.0,29.3,28.9,15.9,19.0,1.4,1.3,207.5,212.4,5.0,5.5,27.5,21.9,35.3,42.3,0.9,2.2,154.7,217.4,362.2,429.8,1.3,1.7,39.0,44.8,0.5426621160409556,0.6574394463667821,7.081911262798634,7.349480968858132,64.6,57.8,0.3390092879256966,0.4757785467128028,4.38243626062323,5.139479905437352,5.606811145510836,7.435986159169551,0,0,0,0,0,0,0,0,1,0,-2.18,3.74,17.6,17.2,0.8,0.8,1.3,0.5,31.3,32.3,16.0,17.8,0.9,0.8,171.8,207.3,6.1,7.2,21.0,15.2,41.3,35.6,0.8,1.0,155.3,143.3,327.2,350.6,2.1,1.3,47.8,57.3,0.5111821086261981,0.5510835913312694,5.488817891373802,6.4179566563467505,72.6,64.6,0.209366391184573,0.325077399380805,3.7602905569007268,4.025280898876405,4.506887052341598,5.427244582043344,0,0,0,0,0,0,0,0,1,0,-2.27,4.23
09-01,OREGON-STATE,MINNESOTA,23,30,400,-500,13.0,55,17.6,25.1,0.4,0.3,0.9,0.7,28.6,30.8,13.4,21.1,0.8,2.2,159.1,254.6,6.3,6.9,37.0,19.0,37.2,43.9,1.3,2.3,177.3,226.9,336.4,481.5,1.3,1.0,58.7,62.9,0.46853146853146854,0.685064935064935,5.5629370629370625,8.266233766233766,65.80000000000001,61.6,0.2887537993920972,0.6006493506493507,4.766129032258064,5.168564920273349,5.112462006079026,7.816558441558441,0,0,0,0,0,0,0,1,0,0,-7.66,5.51,17.6,19.3,0.8,0.6,0.8,0.8,32.8,30.3,19.3,17.5,1.2,1.0,214.8,179.5,5.6,5.1,25.2,22.5,34.3,40.2,1.3,1.8,144.1,166.4,358.9,345.9,1.7,1.4,45.5,44.4,0.5884146341463415,0.5775577557755776,6.548780487804879,5.924092409240924,67.1,60.6,0.33532041728763046,0.4158415841584158,4.201166180758018,4.1393034825870645,5.348733233979136,5.707920792079207,0,0,0,1,0,0,0,0,0,0,2.46,4.84
09-01,APPALACHIAN-STATE,TENNESSEE,13,20,975,-1475,21.0,58,22.3,17.2,1.0,0.5,0.7,1.4,22.6,28.7,13.6,17.2,2.5,0.8,194.1,182.9,6.5,6.1,19.1,36.7,46.8,38.2,1.9,1.2,272.2,131.5,466.3,314.5,1.7,1.8,56.9,54.0,0.6017699115044247,0.5993031358885017,8.588495575221238,6.372822299651569,69.4,57.4,0.5288184438040345,0.33275261324041816,5.816239316239316,3.4424083769633507,6.719020172910662,5.479094076655052,0,0,0,0,0,0,0,0,0,1,5.05,-7.34,22.5,18.1,0.5,0.5,0.4,0.9,28.5,33.4,16.9,16.9,1.3,1.3,198.6,210.4,5.1,6.5,20.0,35.2,47.5,36.1,2.5,0.9,223.7,152.6,422.3,363.0,0.8,1.5,40.8,56.5,0.5929824561403508,0.5059880239520957,6.968421052631578,6.299401197604791,76.0,66.8,0.46315789473684216,0.29940119760479045,4.7094736842105265,4.227146814404432,5.556578947368421,5.434131736526946,0,0,0,0,0,0,0,0,1,0,13.94,3.1
09-02,BALL-STATE,GEORGIA-STATE,31,21,210,-250,6.0,55,20.8,24.0,0.5,0.8,0.8,0.6,38.3,34.0,21.9,24.1,1.4,1.9,218.3,292.5,3.7,7.8,35.8,23.1,36.4,42.7,1.3,2.2,153.3,225.5,371.6,518.0,1.3,1.3,35.4,69.8,0.5718015665796344,0.7088235294117647,5.699738903394256,8.602941176470589,74.69999999999999,68.0,0.30923694779116473,0.526470588235294,4.211538461538462,5.281030444964871,4.974564926372157,7.617647058823529,0,0,0,0,0,1,0,0,0,0,-10.66,-1.16,20.1,23.0,0.8,0.5,0.9,1.2,38.2,34.5,23.7,20.2,2.2,1.5,335.9,222.5,7.1,7.1,28.3,26.9,31.3,42.0,1.2,1.0,96.9,183.2,432.8,405.8,1.8,1.6,65.4,67.7,0.6204188481675392,0.5855072463768116,8.793193717277486,6.449275362318841,69.5,69.0,0.3870503597122302,0.4101449275362319,3.0958466453674123,4.3619047619047615,6.227338129496403,5.881159420289856,0,0,0,0,0,0,0,0,0,1,-7.61,-7.15
09-02,ARMY,TEMPLE,28,13,460,-620,14.0,45,16.3,18.0,1.1,0.4,0.8,0.5,9.0,25.5,4.1,15.5,0.8,0.9,94.0,210.4,4.0,6.3,27.8,22.1,51.3,36.3,2.0,1.8,244.3,165.7,338.3,376.1,1.8,0.9,39.5,47.8,0.4555555555555555,0.6078431372549019,10.444444444444445,8.250980392156864,60.3,51.0,0.3665008291873964,0.5450980392156863,4.762183235867447,4.564738292011019,5.61028192371476,7.374509803921569,0,0,0,0,0,0,0,0,0,0,-11.82,-5.9,19.4,17.1,0.8,0.4,0.6,1.1,31.3,33.4,17.8,19.2,1.4,0.9,216.9,208.8,5.8,7.4,20.1,29.8,37.0,33.5,1.8,1.1,149.8,128.0,366.7,336.8,1.4,1.6,55.2,69.6,0.5686900958466454,0.5748502994011976,6.9297124600638975,6.251497005988025,68.3,66.8,0.4363103953147877,0.3008982035928144,4.048648648648649,3.8208955223880596,5.36896046852123,5.041916167664671,0,1,0,0,0,0,0,0,0,0,6.45,-1.63
09-02,COLORADO-STATE,COLORADO,7,44,215,-255,7.0,56,23.2,19.8,0.9,0.5,1.2,0.6,30.1,24.9,17.8,13.5,1.8,0.9,228.0,177.6,7.5,6.4,27.2,29.6,41.2,42.5,1.5,2.0,197.8,212.9,425.8,390.5,2.1,1.2,71.3,56.3,0.5913621262458472,0.5421686746987953,7.574750830564784,7.132530120481928,71.30000000000001,49.8,0.4151472650771388,0.5461847389558233,4.800970873786408,5.009411764705883,5.971949509116409,7.84136546184739,0,0,0,0,0,0,1,0,0,0,-5.09,-5.78,22.4,20.6,0.7,0.6,0.9,1.1,35.8,33.5,21.9,19.2,1.0,1.8,239.3,218.2,6.2,6.4,27.5,24.6,41.8,39.5,1.8,1.5,157.5,198.7,396.8,416.9,1.6,1.7,55.7,53.2,0.611731843575419,0.573134328358209,6.684357541899442,6.513432835820895,77.6,67.0,0.31701030927835055,0.41044776119402987,3.7679425837320575,5.030379746835442,5.113402061855671,6.222388059701492,0,0,0,0,0,0,0,1,0,0,-3.51,1.33
