date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
903,SOUTH-CAROLINA,NORTH-CAROLINA,17,13,-121,101,-1,62
903,FLORIDA-INTERNATIONAL,CENTRAL-FLORIDA,15,14,335,-415,11,44
903,OKLAHOMA-STATE,CENTRAL-MICHIGAN,24,13,-1200,800,-21,57
903,MICHIGAN,UTAH,17,24,180,-210,5,44
903,TEXAS-CHRISTIAN,MINNESOTA,23,17,-725,525,-16,57
903,DUKE,TULANE,37,7,-240,200,-5,52
903,COLORADO,HAWAII,20,28,-276,220,-7,60
903,WESTERN-KENTUCKY,VANDERBILT,14,12,-130,110,-2,60
904,CHARLOTTE,GEORGIA-STATE,23,20,250,-310,7,68
904,MICHIGAN-STATE,WESTERN-MICHIGAN,37,24,-900,600,-16,55
904,WASHINGTON,BOISE-STATE,13,16,380,-475,13,53
905,OLD-DOMINION,EASTERN-MICHIGAN,38,34,-260,210,-7,59
905,NEW-MEXICO-STATE,FLORIDA,13,61,6125,-15625,34,54
905,PENN-STATE,TEMPLE,10,27,-260,220,-7,54
905,FLORIDA-ATLANTIC,TULSA,44,47,165,-190,4,68
905,VIRGINIA,UCLA,16,34,725,-975,17,52
905,STANFORD,NORTHWESTERN,6,16,-395,315,-10,48
905,LOUISVILLE,AUBURN,24,31,355,-445,10,54
905,ARIZONA-STATE,TEXAS-AM,17,38,140,-160,3,65
905,BRIGHAM-YOUNG,NEBRASKA,33,28,185,-215,5,57
905,TROY,NORTH-CAROLINA-STATE,21,49,1440,-2290,25,61
905,NEVADA-LAS-VEGAS,NORTHERN-ILLINOIS,30,38,1050,-1500,21,61
905,AKRON,OKLAHOMA,3,41,4265,-10265,31,56
905,BOWLING-GREEN-STATE,TENNESSEE,30,59,1065,-1515,22,67
905,LOUISIANA-LAFAYETTE,KENTUCKY,33,40,595,-770,17,58
905,TEXAS-EL-PASO,ARKANSAS,13,48,3875,-9375,31,50
905,GEORGIA-SOUTHERN,WEST-VIRGINIA,0,44,630,-880,16,55
905,TEXAS,NOTRE-DAME,3,38,285,-355,9,48
905,TEXAS-STATE,FLORIDA-STATE,16,59,2410,-4910,27,60
905,WISCONSIN,ALABAMA,17,35,465,-590,12,44
905,MISSISSIPPI-STATE,SOUTHERN-MISSISSIPPI,34,16,-1345,945,-20,61
905,ARKANSAS-STATE,SOUTHERN-CALIFORNIA,6,55,2185,-3735,27,66
905,KENT-STATE,ILLINOIS,3,52,400,-525,12,54
906,PURDUE,MARSHALL,31,41,225,-275,7,60
907,OHIO-STATE,VIRGINIA-TECH,42,24,-650,500,-13,52
910,LOUISIANA-TECH,WESTERN-KENTUCKY,38,41,-140,120,-2,63
911,MIAMI-FL,FLORIDA-ATLANTIC,44,20,-1200,800,-17,56
911,UTAH-STATE,UTAH,14,24,380,-480,11,44
912,SOUTH-FLORIDA,FLORIDA-STATE,14,34,2870,-6370,28,53
912,WESTERN-MICHIGAN,GEORGIA-SOUTHERN,17,43,-215,185,-5,56
912,BUFFALO,PENN-STATE,14,27,680,-930,17,47
912,ARMY,CONNECTICUT,17,22,230,-280,7,47
912,EAST-CAROLINA,FLORIDA,24,31,910,-1260,20,53
912,HOUSTON,LOUISVILLE,34,31,450,-575,13,56
912,FRESNO-STATE,MISSISSIPPI,21,73,5355,-13355,32,56
912,TEMPLE,CINCINNATI,34,26,200,-235,6,55
912,LOUISIANA-STATE,MISSISSIPPI-STATE,21,19,-175,155,-3,53
912,MIAMI-OH,WISCONSIN,0,58,4015,-9515,31,52
912,KANSAS-STATE,TEXAS-SAN-ANTONIO,30,3,-620,470,-14,50
912,MARSHALL,OHIO,10,21,-150,130,-3,53
912,HAWAII,OHIO-STATE,0,38,39000,-81000,42,66
912,WAKE-FOREST,SYRACUSE,17,30,165,-190,4,41
912,APPALACHIAN-STATE,CLEMSON,10,41,830,-1130,18,57
912,MISSOURI,ARKANSAS-STATE,27,20,-400,320,-9,54
912,EASTERN-MICHIGAN,WYOMING,48,29,330,-420,11,52
912,MASSACHUSETTS,COLORADO,14,48,410,-535,13,61
912,MINNESOTA,COLORADO-STATE,23,20,-185,160,-4,60
912,OREGON-STATE,MICHIGAN,7,35,475,-625,13,46
912,TULANE,GEORGIA-TECH,10,65,5370,-13370,32,60
912,GEORGIA,VANDERBILT,31,14,-975,725,-18,49
912,BOISE-STATE,BRIGHAM-YOUNG,24,35,-135,115,-2,56
912,NOTRE-DAME,VIRGINIA,34,27,-585,460,-13,47
912,IOWA,IOWA-STATE,31,17,-165,145,-3,47
912,SAN-DIEGO-STATE,CALIFORNIA,7,35,400,-525,12,59
912,MEMPHIS,KANSAS,55,23,-515,390,-11,63
912,TOLEDO,ARKANSAS,16,12,1085,-1535,22,56
912,MIDDLE-TENNESSEE-STATE,ALABAMA,10,37,6335,-16335,34,56
912,SAN-JOSE-STATE,AIR-FORCE,16,37,170,-195,4,58
912,PITTSBURGH,AKRON,24,7,-475,375,-12,50
912,BOWLING-GREEN-STATE,MARYLAND,48,27,230,-280,7,70
912,ARIZONA,NEVADA,44,20,-375,305,-9,63
912,KENTUCKY,SOUTH-CAROLINA,26,22,220,-270,7,55
912,NORTH-TEXAS,SOUTHERN-METHODIST,13,31,190,-225,6,59
912,BALL-STATE,TEXAS-AM,23,56,4015,-9515,31,64
912,TEXAS-EL-PASO,TEXAS-TECH,20,69,830,-1180,20,65
912,WASHINGTON-STATE,RUTGERS,37,34,185,-215,5,62
912,OKLAHOMA,TENNESSEE,31,24,-135,115,-2,63
912,RICE,TEXAS,28,42,450,-600,14,49
912,GEORGIA-STATE,NEW-MEXICO-STATE,34,32,175,-205,4,64
912,SOUTH-ALABAMA,NEBRASKA,9,48,1875,-3125,27,54
912,OREGON,MICHIGAN-STATE,28,31,190,-220,4,66
912,FLORIDA-INTERNATIONAL,INDIANA,22,36,270,-330,8,56
912,TULSA,NEW-MEXICO,40,21,215,-265,6,71
912,CENTRAL-FLORIDA,STANFORD,7,31,875,-1225,20,46
912,UCLA,NEVADA-LAS-VEGAS,37,3,-12560,5060,-32,66
912,LIBERTY,WEST-VIRGINIA,17,41,8000,-21500,32,59
917,CLEMSON,LOUISVILLE,20,17,-215,185,-5,54
918,FLORIDA-STATE,BOSTON-COLLEGE,14,0,-400,325,-9,47
918,NEW-MEXICO,ARIZONA-STATE,10,34,1400,-3000,25,63
919,WAKE-FOREST,ARMY,17,14,-285,235,-7,49
919,TEMPLE,MASSACHUSETTS,25,23,-515,390,-13,55
919,NEVADA-LAS-VEGAS,MICHIGAN,7,28,4705,-11705,32,50
919,BALL-STATE,EASTERN-MICHIGAN,28,17,-190,165,-4,61
919,CHARLOTTE,MIDDLE-TENNESSEE-STATE,14,73,760,-1060,19,65
919,KENT-STATE,MINNESOTA,7,10,1250,-1900,24,47
919,BUFFALO,FLORIDA-ATLANTIC,33,15,125,-145,2,59
919,TROY,WISCONSIN,3,28,3110,-7110,29,59
919,ILLINOIS,NORTH-CAROLINA,14,48,225,-275,7,63
919,NORTHERN-ILLINOIS,OHIO-STATE,13,20,6330,-16330,34,67
919,NORTH-CAROLINA-STATE,OLD-DOMINION,38,14,-875,625,-17,57
919,TULSA,OKLAHOMA,38,52,4915,-12415,33,70
919,CENTRAL-MICHIGAN,SYRACUSE,27,30,270,-330,8,47
919,NORTHWESTERN,DUKE,19,10,155,-175,4,50
919,NEVADA,TEXAS-AM,27,44,4500,-11000,31,64
919,GEORGIA-STATE,OREGON,28,61,35000,-105000,42,71
919,RICE,NORTH-TEXAS,38,24,-280,230,-7,53
919,LOUISIANA-TECH,KANSAS-STATE,33,39,320,-400,10,52
919,SOUTH-CAROLINA,GEORGIA,20,52,525,-675,15,54
919,EAST-CAROLINA,NAVY,21,45,175,-205,4,58
919,AUBURN,LOUISIANA-STATE,21,45,220,-260,6,50
919,MISSISSIPPI,ALABAMA,43,37,270,-330,9,52
919,VIRGINIA-TECH,PURDUE,51,24,-215,185,-5,49
919,TEXAS-SAN-ANTONIO,OKLAHOMA-STATE,14,69,1630,-2580,25,56
919,NEBRASKA,MIAMI-FL,33,36,145,-165,3,59
919,GEORGIA-TECH,NOTRE-DAME,22,30,-110,-110,1,56
919,UTAH-STATE,WASHINGTON,17,31,230,-280,7,45
919,SOUTHERN-MISSISSIPPI,TEXAS-STATE,56,50,105,-125,1,66
919,CINCINNATI,MIAMI-OH,37,33,-1335,935,-21,59
919,IOWA-STATE,TOLEDO,23,30,245,-305,7,58
919,TEXAS-TECH,ARKANSAS,35,24,315,-395,10,69
919,MEMPHIS,BOWLING-GREEN-STATE,44,41,-160,140,-3,71
919,COLORADO,COLORADO-STATE,27,24,-155,135,-3,56
919,SOUTH-FLORIDA,MARYLAND,17,35,205,-245,6,52
919,CONNECTICUT,MISSOURI,6,9,990,-1390,21,41
919,FLORIDA,KENTUCKY,14,9,-165,145,-3,53
919,WESTERN-KENTUCKY,INDIANA,35,38,125,-145,2,72
919,CALIFORNIA,TEXAS,45,44,-215,185,-5,58
919,SAN-JOSE-STATE,OREGON-STATE,21,35,205,-245,6,50
919,SOUTHERN-METHODIST,TEXAS-CHRISTIAN,37,56,10530,-33030,37,69
919,TEXAS-EL-PASO,NEW-MEXICO-STATE,50,47,-145,125,-3,60
919,RUTGERS,PENN-STATE,3,28,300,-370,8,47
919,SOUTH-ALABAMA,SAN-DIEGO-STATE,34,27,685,-935,17,47
919,STANFORD,SOUTHERN-CALIFORNIA,41,31,325,-395,9,50
919,PITTSBURGH,IOWA,24,27,170,-195,4,48
919,AIR-FORCE,MICHIGAN-STATE,21,35,1475,-2325,24,54
919,WYOMING,WASHINGTON-STATE,14,31,1645,-2695,26,66
919,BRIGHAM-YOUNG,UCLA,23,24,670,-920,16,58
919,UTAH,FRESNO-STATE,45,24,-475,375,-11,53
924,CINCINNATI,MEMPHIS,46,53,240,-300,7.5,70
925,BOISE-STATE,VIRGINIA,56,14,-112,-107,0,48
925,STANFORD,OREGON-STATE,42,24,-550,430,-14,47
926,BRIGHAM-YOUNG,MICHIGAN,0,31,230,-280,7,48
926,ARMY,EASTERN-MICHIGAN,58,36,-120,100,-2,55
926,NEVADA,BUFFALO,24,21,130,-150,3,53
926,CENTRAL-MICHIGAN,MICHIGAN-STATE,10,30,1600,-3200,25,55
926,SOUTHERN-MISSISSIPPI,NEBRASKA,28,36,900,-1400,21,65
926,MISSOURI,KENTUCKY,13,21,135,-155,3,44
926,TEXAS-STATE,HOUSTON,14,59,645,-895,17.5,73
926,NAVY,CONNECTICUT,28,18,-315,255,-7,48
926,VIRGINIA-TECH,EAST-CAROLINA,28,35,-405,325,-10,50
926,SAN-DIEGO-STATE,PENN-STATE,21,37,505,-655,14.5,40
926,BOWLING-GREEN-STATE,PURDUE,35,28,-185,160,-4.5,74
926,KANSAS,RUTGERS,14,27,415,-540,13.5,63
926,WESTERN-MICHIGAN,OHIO-STATE,12,38,7000,-20000,34.5,62
926,ARKANSAS-STATE,TOLEDO,7,37,165,-190,4,58
926,INDIANA,WAKE-FOREST,31,24,-170,150,-4,54
926,MARYLAND,WEST-VIRGINIA,6,45,625,-825,16.5,57
926,GEORGIA-TECH,DUKE,20,34,-320,260,-7,55
926,VANDERBILT,MISSISSIPPI,16,27,1950,-3250,27,54
926,NORTH-TEXAS,IOWA,16,62,1550,-3150,25.5,54
926,MIDDLE-TENNESSEE-STATE,ILLINOIS,25,27,145,-165,3.5,61
926,NEW-MEXICO,WYOMING,38,28,-175,155,-4,59
926,FLORIDA-INTERNATIONAL,LOUISIANA-TECH,17,27,480,-630,14,55
926,RICE,BAYLOR,17,70,5400,-15400,33,74
926,TEXAS-AM,ARKANSAS,28,21,-240,205,-6,61
926,TENNESSEE,FLORIDA,27,28,-120,100,-1,51
926,OHIO,MINNESOTA,24,27,265,-325,7.5,47
926,MIAMI-OH,WESTERN-KENTUCKY,14,56,825,-1125,20,66
926,LOUISIANA-STATE,SYRACUSE,34,24,-1890,1240,-23.5,46
926,MASSACHUSETTS,NOTRE-DAME,27,62,3000,-7400,28,61
926,NORTH-CAROLINA-STATE,SOUTH-ALABAMA,63,13,-930,680,-17.5,55
926,MARSHALL,KENT-STATE,36,29,-265,215,-6.5,47
926,MISSISSIPPI-STATE,AUBURN,17,9,100,-120,0,59
926,LOUISIANA-MONROE,ALABAMA,0,34,10600,-44600,37,53
926,FLORIDA-ATLANTIC,CHARLOTTE,17,7,-375,305,-10,65
926,TEXAS-CHRISTIAN,TEXAS-TECH,55,52,-210,180,-5,83
