date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u,a_first_downs,a_opponents_first_downs,a_fumbles_lost,a_opponents_fumbles_lost,a_interceptions,a_opponents_interceptions,a_pass_attempts,a_opponents_pass_attempts,a_pass_completions,a_opponents_pass_completions,a_pass_touchdowns,a_opponents_pass_touchdowns,a_pass_yards,a_opponents_pass_yards,a_penalties,a_opponents_penalties,a_points_against_per_game,a_points_per_game,a_rush_attempts,a_opponents_rush_attempts,a_rush_touchdowns,a_opponents_rush_touchdowns,a_rush_yards,a_opponents_rush_yards,a_yards,a_opponents_yards,a_turnovers,a_opponents_turnovers,a_yards_from_penalties,a_opponents_yards_from_penalties,a_pass_completion_percentage,a_opponents_pass_completion_percentage,a_pass_yards_per_attempt,a_opponents_pass_yards_per_attempt,a_plays,a_opponents_plays,a_points_per_play,a_opponents_points_per_play,a_rush_yards_per_attempt,a_opponents_rush_yards_per_attempt,a_yards_per_play,a_opponents_yards_per_play,a_acc,a_american,a_big-12,a_big-ten,a_cusa,a_mac,a_mwc,a_pac-12,a_sec,a_sun-belt,a_simple_rating_system,a_strength_of_schedule,h_first_downs,h_opponents_first_downs,h_fumbles_lost,h_opponents_fumbles_lost,h_interceptions,h_opponents_interceptions,h_pass_attempts,h_opponents_pass_attempts,h_pass_completions,h_opponents_pass_completions,h_pass_touchdowns,h_opponents_pass_touchdowns,h_pass_yards,h_opponents_pass_yards,h_penalties,h_opponents_penalties,h_points_against_per_game,h_points_per_game,h_rush_attempts,h_opponents_rush_attempts,h_rush_touchdowns,h_opponents_rush_touchdowns,h_rush_yards,h_opponents_rush_yards,h_yards,h_opponents_yards,h_turnovers,h_opponents_turnovers,h_yards_from_penalties,h_opponents_yards_from_penalties,h_pass_completion_percentage,h_opponents_pass_completion_percentage,h_pass_yards_per_attempt,h_opponents_pass_yards_per_attempt,h_plays,h_opponents_plays,h_points_per_play,h_opponents_points_per_play,h_rush_yards_per_attempt,h_opponents_rush_yards_per_attempt,h_yards_per_play,h_opponents_yards_per_play,h_acc,h_american,h_big-12,h_big-ten,h_cusa,h_mac,h_mwc,h_pac-12,h_sec,h_sun-belt,h_simple_rating_system,h_strength_of_schedule
08-26,OREGON-STATE,COLORADO-STATE,27,58,140,-160,3.0,60.0,18.2,23.1,0.7,1.1,0.9,0.6,29.4,33.5,16.1,18.8,1.1,1.3,173.8,211.2,8.0,5.8,30.5,26.2,36.7,41.0,2.0,2.1,192.2,218.0,366.0,429.2,1.6,1.7,71.8,54.3,0.5476190476190477,0.5611940298507463,5.911564625850341,6.304477611940298,66.1,67.0,0.3963691376701967,0.4552238805970149,5.237057220708446,5.317073170731708,5.5370650529500764,6.405970149253731,0,0,0,0,0,0,0,1,0,0,1.53,5.11,22.5,20.7,0.6,0.5,0.5,0.6,27.7,24.3,16.7,14.3,2.2,1.4,244.5,205.6,6.0,6.1,30.4,35.3,41.5,44.3,2.3,2.5,218.0,214.1,462.5,419.7,1.2,1.1,53.8,48.4,0.6028880866425993,0.588477366255144,8.826714801444044,8.460905349794238,69.2,48.6,0.5101156069364161,0.625514403292181,5.253012048192771,4.832957110609481,6.683526011560693,8.635802469135802,0,0,0,0,0,0,1,0,0,0,2.52,-1.17
08-26,HAWAII,MASSACHUSETTS,38,35,125,-145,3.0,59.0,18.8,23.9,0.7,0.4,1.1,0.8,31.3,28.1,18.4,17.6,1.8,2.1,227.5,227.4,8.3,6.9,37.3,28.3,34.1,44.4,1.8,2.2,163.8,234.2,391.3,461.6,1.8,1.2,71.6,65.4,0.5878594249201278,0.6263345195729537,7.2683706070287535,8.092526690391459,65.4,56.2,0.4327217125382263,0.6637010676156583,4.803519061583578,5.274774774774775,5.983180428134556,8.213523131672599,0,0,0,0,0,0,1,0,0,0,-6.44,-3.44,19.2,23.8,0.8,0.9,1.3,0.3,36.3,32.8,21.1,21.2,2.3,2.3,256.7,259.6,7.8,6.9,35.5,23.3,30.3,40.8,0.8,1.9,99.5,193.4,356.2,453.0,2.1,1.3,65.3,67.2,0.5812672176308541,0.6463414634146342,7.071625344352618,7.914634146341465,66.6,65.6,0.3498498498498499,0.541158536585366,3.283828382838284,4.740196078431373,5.348348348348349,6.9054878048780495,0,0,0,0,0,0,0,0,0,0,-11.94,-1.44
08-26,SOUTH-FLORIDA,SAN-JOSE-STATE,42,22,-1800,980,-21.0,69.0,23.1,25.1,0.7,0.8,0.6,1.2,27.5,39.0,17.3,23.3,2.0,1.6,226.2,285.5,6.4,4.6,31.6,43.8,43.6,43.6,3.6,2.2,285.8,196.7,512.0,482.2,1.3,2.0,58.7,41.8,0.6290909090909091,0.5974358974358974,8.225454545454545,7.32051282051282,71.1,78.0,0.6160337552742616,0.40512820512820513,6.555045871559633,4.511467889908256,7.201125175808721,6.182051282051282,0,1,0,0,0,0,0,0,0,0,7.83,-2.7,21.0,21.1,0.4,0.8,1.3,0.8,30.8,22.2,17.8,13.3,1.5,1.5,222.1,188.6,4.3,5.5,34.7,24.4,39.8,45.0,1.3,2.8,155.1,246.7,377.2,435.3,1.7,1.6,36.6,52.3,0.577922077922078,0.5990990990990992,7.211038961038961,8.495495495495495,70.6,44.4,0.34560906515580736,0.7815315315315317,3.8969849246231156,5.482222222222222,5.342776203966006,9.804054054054054,0,0,0,0,0,0,1,0,0,0,-10.03,-2.61
08-31,OHIO-STATE,INDIANA,49,21,-2000,1041,-20.0,55.0,24.0,15.4,0.4,0.5,0.5,1.6,31.5,30.8,19.6,15.1,2.0,0.8,213.9,172.2,6.3,4.5,15.5,39.4,44.8,36.6,2.5,0.6,245.2,127.9,459.2,300.2,0.9,2.1,50.6,41.2,0.6222222222222222,0.49025974025974023,6.79047619047619,5.590909090909091,76.3,61.6,0.5163826998689384,0.25162337662337664,5.473214285714286,3.4945355191256833,6.018348623853211,4.873376623376623,0,0,0,1,0,0,0,0,0,0,18.82,6.59,21.5,19.5,0.8,0.8,1.4,1.0,35.1,32.1,20.2,16.8,1.6,1.3,273.8,219.7,6.1,6.8,27.2,25.8,41.1,42.6,1.4,1.5,152.2,160.4,426.0,380.1,2.2,1.8,52.8,56.5,0.5754985754985754,0.5233644859813084,7.800569800569801,6.84423676012461,76.2,64.2,0.33858267716535434,0.4236760124610592,3.70316301703163,3.7652582159624415,5.590551181102362,5.920560747663552,0,0,0,1,0,0,0,0,0,0,1.38,2.69
08-31,BUFFALO,MINNESOTA,7,17,1123,-1800,21.0,52.0,18.3,21.6,0.7,0.7,0.9,0.4,33.1,23.7,17.7,13.6,0.9,1.3,200.5,181.5,5.3,4.5,32.3,16.5,35.5,49.8,1.0,2.4,153.3,253.3,353.8,434.8,1.6,1.1,43.1,38.8,0.5347432024169184,0.5738396624472574,6.057401812688822,7.658227848101266,68.6,47.4,0.24052478134110788,0.6814345991561181,4.31830985915493,5.086345381526105,5.157434402332362,9.172995780590718,0,0,0,0,0,1,0,0,0,0,-18.24,-5.57,19.2,19.0,0.4,1.2,0.9,0.7,25.2,37.5,13.9,21.1,0.7,1.7,173.6,230.9,6.8,4.7,22.1,29.3,42.9,34.8,2.6,0.9,183.6,117.8,357.2,348.8,1.3,1.9,57.2,42.1,0.5515873015873016,0.5626666666666668,6.888888888888889,6.157333333333334,68.1,75.0,0.43024963289280477,0.2946666666666667,4.27972027972028,3.385057471264368,5.2452276064610865,4.650666666666667,0,0,0,1,0,0,0,0,0,0,8.65,1.65
08-31,LOUISIANA-MONROE,MEMPHIS,29,37,1769,-4000,28.0,61.0,20.6,24.3,0.7,0.6,1.3,0.5,30.3,26.8,16.5,16.0,1.3,1.8,192.0,220.1,4.2,7.3,39.1,23.3,42.7,45.3,1.8,2.6,181.3,260.4,373.3,480.5,2.0,1.1,42.3,62.6,0.5445544554455446,0.5970149253731343,6.336633663366336,8.212686567164178,73.0,53.6,0.31917808219178084,0.7294776119402985,4.245901639344262,5.748344370860927,5.1136986301369864,8.96455223880597,0,0,0,0,0,0,0,0,0,1,-11.97,-2.55,23.3,23.8,0.8,1.0,0.8,1.2,36.7,38.1,23.3,23.4,2.6,1.5,304.4,249.7,6.3,6.5,28.8,38.8,37.3,40.8,1.8,2.2,160.0,204.9,464.4,454.6,1.6,2.2,59.3,59.8,0.6348773841961852,0.6141732283464566,8.294277929155312,6.5538057742782145,74.0,76.2,0.5243243243243243,0.3779527559055118,4.289544235924933,5.022058823529412,6.275675675675675,5.965879265091863,0,1,0,0,0,0,0,0,0,0,2.96,-1.11
08-31,NEW-MEXICO-STATE,ARIZONA-STATE,31,37,1807,-4190,26.0,69.0,22.2,24.0,0.6,0.8,1.3,1.1,38.4,30.0,21.1,19.3,1.8,1.9,244.9,252.4,6.3,5.9,38.8,24.8,37.7,45.4,1.0,2.6,169.3,244.8,414.3,497.3,1.8,1.9,55.5,56.6,0.5494791666666667,0.6433333333333333,6.377604166666667,8.413333333333334,76.1,60.0,0.3258869908015769,0.6466666666666666,4.4907161803713525,5.392070484581498,5.444152431011827,8.288333333333334,0,0,0,0,0,0,0,0,0,1,-12.88,-2.29,20.3,23.2,0.6,0.7,1.2,0.8,35.4,40.4,21.4,25.8,1.3,2.8,259.3,357.4,5.5,6.8,39.8,33.3,39.5,33.1,2.3,2.1,131.8,164.3,391.1,521.7,1.8,1.4,52.0,60.3,0.6045197740112994,0.6386138613861386,7.324858757062148,8.846534653465346,74.9,80.8,0.44459279038718286,0.49257425742574257,3.336708860759494,4.9637462235649545,5.221628838451268,6.456683168316832,0,0,0,0,0,0,0,1,0,0,-2.6,3.9
08-31,FLORIDA-INTERNATIONAL,CENTRAL-FLORIDA,17,61,588,-850,17.0,56.0,19.8,22.3,0.5,0.7,1.4,0.5,33.9,30.5,19.8,18.8,1.6,1.8,226.7,235.8,5.3,5.8,34.8,24.0,35.3,37.9,1.3,2.2,148.6,199.0,375.3,434.8,1.9,1.2,48.7,50.9,0.584070796460177,0.6163934426229508,6.687315634218289,7.731147540983607,69.19999999999999,61.0,0.34682080924855496,0.5704918032786884,4.209631728045326,5.250659630606861,5.423410404624279,7.127868852459017,0,0,0,0,1,0,0,0,0,0,-12.82,-4.74,19.2,19.6,1.2,0.8,0.7,1.2,34.5,33.2,18.8,17.2,1.1,1.2,209.7,200.8,7.0,6.2,24.6,28.8,40.5,44.3,1.9,1.7,141.2,169.5,350.8,370.3,1.9,2.0,56.1,57.0,0.5449275362318841,0.5180722891566264,6.078260869565217,6.048192771084337,75.0,66.4,0.384,0.3704819277108434,3.4864197530864196,3.8261851015801356,4.677333333333333,5.576807228915662,0,1,0,0,0,0,0,0,0,0,-0.01,-1.86
08-31,TULSA,OKLAHOMA-STATE,24,59,980,-1800,19.0,70.0,28.7,20.1,0.7,0.8,0.9,0.8,34.5,37.5,20.5,20.0,2.5,1.2,265.3,250.2,6.0,7.6,29.8,42.5,51.2,40.5,2.5,2.2,262.4,176.3,527.7,426.5,1.6,1.6,52.6,66.2,0.5942028985507246,0.5333333333333333,7.689855072463769,6.672,85.7,75.0,0.4959159859976663,0.3973333333333333,5.124999999999999,4.353086419753087,6.157526254375729,5.6866666666666665,0,1,0,0,0,0,0,0,0,0,6.91,-3.71,23.7,22.6,0.8,0.8,0.3,1.1,35.8,33.2,22.7,20.2,2.2,1.7,323.9,252.8,5.3,5.3,26.5,38.6,37.8,42.2,2.5,1.7,171.0,193.5,494.9,446.3,1.1,1.9,49.5,46.6,0.6340782122905029,0.6084337349397589,9.047486033519553,7.614457831325301,73.6,66.4,0.5244565217391305,0.39909638554216864,4.523809523809524,4.585308056872037,6.724184782608696,6.721385542168674,0,0,1,0,0,0,0,0,0,0,11.16,1.7
09-01,CHARLOTTE,EASTERN-MICHIGAN,7,24,367,-475,13.0,59.0,19.8,24.2,0.8,0.6,0.5,1.3,34.4,41.3,17.8,25.8,1.4,2.4,192.8,309.8,7.3,7.4,34.6,25.2,40.3,33.8,1.5,2.0,176.8,143.4,369.5,453.3,1.3,1.9,68.2,66.7,0.5174418604651163,0.6246973365617434,5.604651162790698,7.501210653753027,74.69999999999999,82.6,0.3373493975903615,0.41888619854721554,4.387096774193549,4.242603550295859,4.94645247657296,5.487893462469734,0,0,0,0,1,0,0,0,0,0,-12.51,-5.76,23.3,23.9,0.5,1.0,1.3,0.8,39.9,35.5,23.8,21.5,1.9,1.9,296.1,265.2,5.8,5.6,29.8,29.6,36.9,38.6,1.6,1.8,159.1,167.5,455.2,432.7,1.8,1.8,57.0,54.2,0.5964912280701755,0.6056338028169014,7.421052631578948,7.470422535211267,76.8,71.0,0.3854166666666667,0.4197183098591549,4.311653116531165,4.339378238341968,5.927083333333333,6.094366197183098,0,0,0,0,0,1,0,0,0,0,-4.3,-4.07
09-01,NAVY,FLORIDA-ATLANTIC,42,19,-335,271,-8.0,64.0,20.9,21.9,0.6,0.8,0.5,0.5,11.3,29.5,6.6,19.1,0.6,2.1,128.1,254.1,2.8,4.3,31.0,37.9,52.8,39.0,4.4,1.6,311.1,179.9,439.2,434.0,1.1,1.3,24.4,35.3,0.5840707964601769,0.6474576271186441,11.336283185840706,8.613559322033899,64.1,59.0,0.5912636505460219,0.5254237288135594,5.892045454545455,4.612820512820513,6.851794071762871,7.3559322033898304,0,1,0,0,0,0,0,0,0,0,3.59,-0.84,20.6,24.7,0.6,0.4,1.1,0.8,30.5,29.6,17.9,19.4,0.8,2.0,210.1,268.4,5.3,5.4,39.8,26.4,39.2,44.8,2.6,3.1,188.5,245.4,398.6,513.8,1.7,1.3,48.1,49.6,0.5868852459016393,0.6554054054054054,6.888524590163934,9.067567567567567,69.7,59.2,0.37876614060258246,0.6722972972972973,4.808673469387755,5.477678571428572,5.718794835007174,8.679054054054053,0,0,0,0,1,0,0,0,0,0,-14.6,-5.68
