date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
1118,VIRGINIA,MIAMI-FL,28,44,869,-1250,20,50
1118,IOWA-STATE,BAYLOR,23,13,-275,238,-7.5,49
1118,MISSISSIPPI-STATE,ARKANSAS,28,21,-535,436,-13.5,56
1118,MISSOURI,VANDERBILT,45,17,-279,241,-8.5,64
1118,UTAH,WASHINGTON,30,33,675,-901,17.5,47
1118,LOUISIANA-MONROE,AUBURN,14,42,10000,-30000,38.5,67
1118,KANSAS-STATE,OKLAHOMA-STATE,45,40,789,-1100,19.5,62
1118,NEBRASKA,PENN-STATE,44,56,2500,-5000,27.5,58
1118,LOUISIANA-STATE,TENNESSEE,30,10,-750,581,-17,42
1118,NAVY,NOTRE-DAME,17,24,869,-1250,21,59
1118,HOUSTON,TULANE,17,20,-324,277,-8.5,47
1118,NEW-MEXICO-STATE,LOUISIANA-LAFAYETTE,34,47,-148,131,-3,65
1118,ARMY,NORTH-TEXAS,49,52,103,-116,1.5,59
1118,FLORIDA-INTERNATIONAL,FLORIDA-ATLANTIC,24,52,466,-578,14.5,65
1118,CONNECTICUT,BOSTON-COLLEGE,16,39,917,-1345,21,50
1118,MARSHALL,TEXAS-SAN-ANTONIO,7,9,144,-163,3,45
1118,TEXAS-AM,MISSISSIPPI,31,24,-141,125,-3,70
1118,MICHIGAN,WISCONSIN,10,24,205,-235,6.5,41
1118,UCLA,SOUTHERN-CALIFORNIA,23,28,442,-544,14.5,69
1118,CALIFORNIA,STANFORD,14,17,464,-575,14,57
1118,NEVADA,SAN-DIEGO-STATE,23,42,581,-750,17,56
1121,KENT-STATE,AKRON,14,24,500,-700,15.5,47
1121,BOWLING-GREEN-STATE,EASTERN-MICHIGAN,31,34,500,-700,15,61
1121,MIAMI-OH,BALL-STATE,28,7,-1100,700,-17.5,53
1123,MISSISSIPPI,MISSISSIPPI-STATE,31,28,425,-600,14,64
1124,BAYLOR,TEXAS-CHRISTIAN,22,45,1313,-2300,26.5,53
1124,WESTERN-MICHIGAN,TOLEDO,10,37,344,-440,11.5,61
1124,VIRGINIA-TECH,VIRGINIA,10,0,-250,207,-6.5,48
1124,NORTHERN-ILLINOIS,CENTRAL-MICHIGAN,24,31,-135,115,-2.5,51
1124,OHIO,BUFFALO,24,31,-255,211,-7,56
1124,MISSOURI,ARKANSAS,48,45,-370,296,-10,70
1124,NEW-MEXICO,SAN-DIEGO-STATE,10,35,797,-1300,20.5,47
1124,NAVY,HOUSTON,14,24,203,-245,6.5,55
1124,MIAMI-FL,PITTSBURGH,14,24,-505,387,-12.5,53
1124,IOWA,NEBRASKA,56,14,-200,170,-5,50
1124,TEXAS-STATE,TROY,9,62,1102,-1750,22.5,53
1124,SOUTH-FLORIDA,CENTRAL-FLORIDA,42,49,296,-370,10.5,64
1124,WESTERN-KENTUCKY,FLORIDA-INTERNATIONAL,17,41,-145,125,-2.5,56
1124,TEXAS-TECH,TEXAS,27,23,245,-300,7.5,58
1124,CALIFORNIA,UCLA,27,30,230,-280,7,66
1125,CONNECTICUT,CINCINNATI,21,22,200,-250,6,57
1125,BOSTON-COLLEGE,SYRACUSE,42,14,-190,160,-4,56
1125,MICHIGAN-STATE,RUTGERS,40,7,-600,425,-14,42
1125,INDIANA,PURDUE,24,31,100,-120,1,50
1125,OHIO-STATE,MICHIGAN,31,20,-515,390,-11.5,49
1125,NORTH-CAROLINA,NORTH-CAROLINA-STATE,21,33,400,-550,14.5,57
1125,DUKE,WAKE-FOREST,31,23,320,-420,10.5,58
1125,APPALACHIAN-STATE,GEORGIA-STATE,31,10,-240,190,-5.5,51
1125,VANDERBILT,TENNESSEE,42,24,120,-140,2.5,45
1125,IOWA-STATE,KANSAS-STATE,19,20,125,-145,2.5,51
1125,LOUISVILLE,KENTUCKY,44,17,-430,330,-10.5,68
1125,GEORGIA,GEORGIA-TECH,38,7,-550,400,-12,51
1125,PENN-STATE,MARYLAND,66,3,-1800,1150,-23.5,58
1125,NORTHWESTERN,ILLINOIS,42,7,-800,550,-16.5,46
1125,NORTH-TEXAS,RICE,30,14,-450,350,-12,63
1125,FLORIDA-ATLANTIC,CHARLOTTE,31,12,-2150,1300,-24.5,65
1125,UTAH-STATE,AIR-FORCE,35,38,120,-140,2.5,57
1125,SOUTHERN-MISSISSIPPI,MARSHALL,28,27,110,-130,1.5,48
1125,NEVADA-LAS-VEGAS,NEVADA,16,23,120,-140,3,70
1125,WASHINGTON-STATE,WASHINGTON,14,41,280,-360,9,50
1125,WYOMING,SAN-JOSE-STATE,17,20,-1100,700,-19,48
1125,COLORADO,UTAH,13,34,260,-330,9,57
1125,ARKANSAS-STATE,LOUISIANA-MONROE,67,50,-330,260,-9,70
1125,OLD-DOMINION,MIDDLE-TENNESSEE-STATE,10,41,400,-550,13,52
1125,WISCONSIN,MINNESOTA,31,0,-1200,750,-18.5,44
1125,NOTRE-DAME,STANFORD,20,38,-145,125,-3,58
1125,CLEMSON,SOUTH-CAROLINA,34,10,-550,400,-13.5,46
1125,TEXAS-AM,LOUISIANA-STATE,21,45,320,-420,10.5,50
1125,BOISE-STATE,FRESNO-STATE,17,28,-250,200,-6.5,47
1125,TULANE,SOUTHERN-METHODIST,38,41,230,-280,7.5,65
1125,ARIZONA,ARIZONA-STATE,30,42,-130,110,-2,76
1125,WEST-VIRGINIA,OKLAHOMA,31,59,1100,-1700,23,70
1125,GEORGIA-SOUTHERN,LOUISIANA-LAFAYETTE,34,24,175,-210,5,56
1125,TEMPLE,TULSA,43,22,-220,180,-5.5,56
1125,TEXAS-SAN-ANTONIO,LOUISIANA-TECH,6,20,-110,-110,0,52
1125,TEXAS-EL-PASO,ALABAMA-BIRMINGHAM,7,28,900,-1600,21,48
1125,ALABAMA,AUBURN,14,26,-230,185,-5,47
1125,FLORIDA-STATE,FLORIDA,38,22,-210,175,-4.5,43
1125,BRIGHAM-YOUNG,HAWAII,30,20,-160,140,-3.5,47
1201,STANFORD,SOUTHERN-CALIFORNIA,28,31,151,-175,3.5,58
1202,LOUISIANA-LAFAYETTE,APPALACHIAN-STATE,14,63,425,-600,14,58
1202,GEORGIA-SOUTHERN,COASTAL-CAROLINA,17,28,-170,145,-3,49
1202,TROY,ARKANSAS-STATE,32,25,-110,-110,0,60.5
1202,SOUTH-ALABAMA,NEW-MEXICO-STATE,17,22,375,-500,12,54.5
1202,NORTH-TEXAS,FLORIDA-ATLANTIC,17,41,300,-400,12,71.5
1202,MEMPHIS,CENTRAL-FLORIDA,55,62,230,-280,7,82
1202,AKRON,TOLEDO,28,45,900,-1600,20.5,62
1202,GEORGIA,AUBURN,28,7,-125,105,-1.5,48.5
1202,FRESNO-STATE,BOISE-STATE,14,17,330,-430,9.5,51
1202,MIAMI-FL,CLEMSON,3,38,400,-550,12,48
1202,OHIO-STATE,WISCONSIN,27,21,-170,145,-3.5,50.5
1202,MASSACHUSETTS,FLORIDA-INTERNATIONAL,45,63,-145,125,-2.5,56
1202,LOUISIANA-MONROE,FLORIDA-STATE,10,42,2500,-5000,25.5,64.5
1202,TEXAS-CHRISTIAN,OKLAHOMA,17,41,260,-330,7.5,64
1209,ARMY,NAVY,14,13,110,-130,2,44
1216,NORTH-TEXAS,TROY,30,50,150,-180,4.5,62.5
1216,GEORGIA-STATE,WESTERN-KENTUCKY,27,17,175,-210,5.5,55
1216,OREGON,BOISE-STATE,28,38,-260,210,-7,63
1216,MARSHALL,COLORADO-STATE,31,28,140,-160,3,58.5
1216,MIDDLE-TENNESSEE-STATE,ARKANSAS-STATE,35,30,160,-190,4,61
1219,AKRON,FLORIDA-ATLANTIC,3,50,1098,-2200,23.5,65.5
1220,LOUISIANA-TECH,SOUTHERN-METHODIST,51,10,155,-185,4,70.5
1221,TEMPLE,FLORIDA-INTERNATIONAL,28,3,-280,230,-7,57.5
1222,ALABAMA-BIRMINGHAM,OHIO,6,41,200,-250,6.5,54.5
1222,CENTRAL-MICHIGAN,WYOMING,14,37,115,-135,2.5,46
1223,TEXAS-TECH,SOUTH-FLORIDA,34,38,115,-135,2.5,66
1223,ARMY,SAN-DIEGO-STATE,42,35,190,-240,6.5,46.5
1223,APPALACHIAN-STATE,TOLEDO,34,0,190,-240,6,61.5
1224,HOUSTON,FRESNO-STATE,27,33,-145,125,-2.5,52
1226,UTAH,WEST-VIRGINIA,30,14,-250,200,-6.5,56
1226,NORTHERN-ILLINOIS,DUKE,14,36,180,-220,5,48.5
1226,KANSAS-STATE,UCLA,35,17,-250,200,-6,58.5
1227,SOUTHERN-MISSISSIPPI,FLORIDA-STATE,13,42,367,-475,12.5,48.5
1227,BOSTON-COLLEGE,IOWA,20,27,110,-130,2,46.5
1227,MISSOURI,TEXAS,16,33,-155,135,-3,61.5
1227,PURDUE,ARIZONA,38,35,120,-140,2.5,64
1228,VIRGINIA,NAVY,7,49,125,-145,3,50.5
1228,VIRGINIA-TECH,OKLAHOMA-STATE,21,30,180,-220,6,61
1228,STANFORD,TEXAS-CHRISTIAN,37,39,145,-170,3.5,50
1228,MICHIGAN-STATE,WASHINGTON-STATE,42,17,-150,130,-3,47.5
1229,TEXAS-AM,WAKE-FOREST,52,55,145,-170,3.5,62.5
1229,NORTH-CAROLINA-STATE,ARIZONA-STATE,52,31,-220,180,-5.5,62.5
1229,KENTUCKY,NORTHWESTERN,23,24,250,-310,7.5,50.5
1229,UTAH-STATE,NEW-MEXICO-STATE,20,26,-220,180,-5,63.5
1229,SOUTHERN-CALIFORNIA,OHIO-STATE,7,24,320,-420,10,66
1230,LOUISVILLE,MISSISSIPPI-STATE,27,31,-270,220,-7,62
1230,IOWA-STATE,MEMPHIS,21,20,145,-170,3.5,68.5
1230,WASHINGTON,PENN-STATE,28,35,135,-155,3,56.5
1230,WISCONSIN,MIAMI-FL,34,24,-250,200,-6.5,46
101,SOUTH-CAROLINA,MICHIGAN,26,19,300,-400,8.5,41
101,CENTRAL-FLORIDA,AUBURN,34,27,350,-450,10.5,67
101,LOUISIANA-STATE,NOTRE-DAME,17,21,-125,105,-2,52.5
101,GEORGIA,OKLAHOMA,54,48,-140,120,-2.5,62.5
101,ALABAMA,CLEMSON,24,6,-180,150,-3.5,47
108,ALABAMA,GEORGIA,26,23,-180,155,-3.5,45
