date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u
828,TEXAS-AM,SOUTH-CAROLINA,52,28,270,-330,9,60.5
828,WAKE-FOREST,LOUISIANA-MONROE,10,17,105,-125,1.5,44.5
828,TULANE,TULSA,31,38,180,-210,5,45.5
828,MISSISSIPPI,BOISE-STATE,35,13,-450,355,-10,51.5
828,TEMPLE,VANDERBILT,37,7,277,-338,8.5,50
828,RUTGERS,WASHINGTON-STATE,41,38,255,-310,7.5,61
829,BRIGHAM-YOUNG,CONNECTICUT,35,10,-750,550,-14.5,54
829,BOWLING-GREEN-STATE,WESTERN-KENTUCKY,31,59,-260,215,-7,64
829,COLORADO-STATE,COLORADO,31,17,120,-140,2.5,53.5
830,PENN-STATE,CENTRAL-FLORIDA,26,24,114,-134,2.5,43.5
830,OHIO-STATE,NAVY,34,17,-625,475,-13,54
830,UCLA,VIRGINIA,28,20,-1000,700,-18.5,50
830,TROY,ALABAMA-BIRMINGHAM,10,48,-135,115,-2,58
830,CALIFORNIA,NORTHWESTERN,31,24,279,-338,8,64
830,GEORGIA-SOUTHERN,NORTH-CAROLINA-STATE,23,24,900,-1500,20.5,58
830,FLORIDA-ATLANTIC,NEBRASKA,7,55,700,-1050,20,50.5
830,BOSTON-COLLEGE,MASSACHUSETTS,30,7,-1000,700,-17,48.5
830,MARSHALL,MIAMI-OH,42,27,-3000,1400,-24.5,63.5
830,RICE,NOTRE-DAME,17,48,700,-1050,19.5,52
830,ALABAMA,WEST-VIRGINIA,33,23,-2500,900,-22,53
830,ARKANSAS,AUBURN,21,45,650,-950,17,56.5
830,CLEMSON,GEORGIA,21,45,305,-375,9.5,56
830,OHIO,KENT-STATE,17,14,135,-160,3,47
830,WESTERN-MICHIGAN,PURDUE,34,43,235,-285,7,49
830,FRESNO-STATE,SOUTHERN-CALIFORNIA,13,52,700,-1000,18.5,58
830,FLORIDA-STATE,OKLAHOMA-STATE,37,31,-1500,900,-18.5,64.5
830,NORTH-TEXAS,TEXAS,7,38,900,-1500,20.5,47.5
830,TEXAS-EL-PASO,NEW-MEXICO,31,24,345,-425,10,56.5
830,LOUISIANA-STATE,WISCONSIN,28,24,-170,145,-3.5,49
831,UTAH-STATE,TENNESSEE,7,38,140,-165,3,51
901,MIAMI-FL,LOUISVILLE,13,31,170,-200,4.5,52.5
905,PITTSBURGH,BOSTON-COLLEGE,30,20,-210,180,-5,50
905,WASHINGTON-STATE,NEVADA,13,24,-160,135,-3,67.5
906,KANSAS-STATE,IOWA-STATE,32,28,-450,355,-12,54.5
906,SOUTHERN-METHODIST,NORTH-TEXAS,6,43,125,-145,3,44.5
906,BALL-STATE,IOWA,13,17,600,-850,18,52
906,NORTHERN-ILLINOIS,NORTHWESTERN,23,15,245,-295,7,59
906,CENTRAL-MICHIGAN,PURDUE,38,17,130,-150,3,53
906,BUFFALO,ARMY,39,47,140,-165,3,53
906,MISSOURI,TOLEDO,49,24,-170,145,-3.5,61
906,NAVY,TEMPLE,31,24,-165,140,-3,57.5
906,ARKANSAS-STATE,TENNESSEE,19,34,578,-805,16,58.5
906,WESTERN-KENTUCKY,ILLINOIS,34,42,135,-160,3,68.5
906,NEW-MEXICO-STATE,GEORGIA-STATE,34,31,150,-175,4,64.5
906,COLORADO,MASSACHUSETTS,41,38,-950,650,-17.5,50.5
906,SOUTH-ALABAMA,KENT-STATE,23,13,-130,110,-2,53.5
906,FRESNO-STATE,UTAH,27,59,400,-500,13,65.5
906,SOUTHERN-CALIFORNIA,STANFORD,13,10,135,-160,3,52.5
906,AKRON,PENN-STATE,3,21,437,-559,14,50.5
906,OHIO,KENTUCKY,3,20,400,-500,13,52.5
906,MISSISSIPPI,VANDERBILT,41,3,-950,650,-18,49.5
906,OLD-DOMINION,NORTH-CAROLINA-STATE,34,46,550,-750,15.5,64.5
906,MICHIGAN-STATE,OREGON,27,46,390,-510,14,57
906,MIDDLE-TENNESSEE-STATE,MINNESOTA,24,35,430,-550,14,50
906,LOUISIANA-TECH,LOUISIANA-LAFAYETTE,48,20,475,-625,15.5,58.5
906,ARIZONA-STATE,NEW-MEXICO,58,23,-2400,800,-25,66.5
906,DUKE,TROY,34,17,-1000,700,-18,64
906,EAST-CAROLINA,SOUTH-CAROLINA,23,33,435,-575,14.5,64.5
906,GEORGIA-TECH,TULANE,38,21,-320,265,-7.5,55
906,MARYLAND,SOUTH-FLORIDA,24,17,-450,355,-11,53
906,MICHIGAN,NOTRE-DAME,0,31,161,-190,4,56
906,BRIGHAM-YOUNG,TEXAS,41,7,100,-120,1,47.5
906,SAN-DIEGO-STATE,NORTH-CAROLINA,27,31,430,-560,14,59.5
906,VIRGINIA-TECH,OHIO-STATE,35,21,380,-475,10,46.5
906,OKLAHOMA,TULSA,52,7,-2880,1256,-24,56
906,MEMPHIS,UCLA,35,42,950,-1650,22,57
906,AIR-FORCE,WYOMING,13,17,-120,100,-1,51
906,COLORADO-STATE,BOISE-STATE,24,37,265,-320,8,54
906,OREGON-STATE,HAWAII,38,30,-360,295,-9.5,58.5
906,TEXAS-TECH,TEXAS-EL-PASO,30,26,-1350,850,-21,65.5
911,LOUISIANA-TECH,NORTH-TEXAS,42,21,135,-160,3,48
912,TOLEDO,CINCINNATI,34,58,295,-360,9,58
913,INDIANA,BOWLING-GREEN-STATE,42,45,-325,265,-9,76
913,OHIO,MARSHALL,14,44,775,-1075,20,57.5
913,CENTRAL-FLORIDA,MISSOURI,10,38,350,-440,11,54
913,NORTH-CAROLINA-STATE,SOUTH-FLORIDA,49,17,-140,120,-2.5,52
913,MIAMI-OH,MICHIGAN,10,34,5500,-13500,32,50
913,KENT-STATE,OHIO-STATE,0,66,5000,-12500,31.5,49
913,EASTERN-MICHIGAN,OLD-DOMINION,3,17,800,-1250,21,70
913,EAST-CAROLINA,VIRGINIA-TECH,28,21,310,-390,9.5,54
913,SYRACUSE,CENTRAL-MICHIGAN,40,3,-195,170,-4.5,50
913,PITTSBURGH,FLORIDA-INTERNATIONAL,42,25,-3000,1500,-24.5,45.5
913,BOISE-STATE,CONNECTICUT,38,21,-660,510,-15.5,51.5
913,GEORGIA-SOUTHERN,GEORGIA-TECH,38,42,540,-715,16,55.5
913,IOWA-STATE,IOWA,20,17,390,-515,13,49
913,WEST-VIRGINIA,MARYLAND,40,37,140,-160,3.5,61
913,MASSACHUSETTS,VANDERBILT,31,34,495,-645,16.5,48.5
