date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u,a_first_downs,a_opponents_first_downs,a_fumbles_lost,a_opponents_fumbles_lost,a_interceptions,a_opponents_interceptions,a_pass_attempts,a_opponents_pass_attempts,a_pass_completions,a_opponents_pass_completions,a_pass_touchdowns,a_opponents_pass_touchdowns,a_pass_yards,a_opponents_pass_yards,a_penalties,a_opponents_penalties,a_points_against_per_game,a_points_per_game,a_rush_attempts,a_opponents_rush_attempts,a_rush_touchdowns,a_opponents_rush_touchdowns,a_rush_yards,a_opponents_rush_yards,a_yards,a_opponents_yards,a_turnovers,a_opponents_turnovers,a_yards_from_penalties,a_opponents_yards_from_penalties,a_pass_completion_percentage,a_opponents_pass_completion_percentage,a_pass_yards_per_attempt,a_opponents_pass_yards_per_attempt,a_plays,a_opponents_plays,a_points_per_play,a_opponents_points_per_play,a_rush_yards_per_attempt,a_opponents_rush_yards_per_attempt,a_yards_per_play,a_opponents_yards_per_play,a_acc,a_american,a_big-12,a_big-ten,a_cusa,a_mac,a_mwc,a_pac-12,a_sec,a_sun-belt,a_simple_rating_system,a_strength_of_schedule,h_first_downs,h_opponents_first_downs,h_fumbles_lost,h_opponents_fumbles_lost,h_interceptions,h_opponents_interceptions,h_pass_attempts,h_opponents_pass_attempts,h_pass_completions,h_opponents_pass_completions,h_pass_touchdowns,h_opponents_pass_touchdowns,h_pass_yards,h_opponents_pass_yards,h_penalties,h_opponents_penalties,h_points_against_per_game,h_points_per_game,h_rush_attempts,h_opponents_rush_attempts,h_rush_touchdowns,h_opponents_rush_touchdowns,h_rush_yards,h_opponents_rush_yards,h_yards,h_opponents_yards,h_turnovers,h_opponents_turnovers,h_yards_from_penalties,h_opponents_yards_from_penalties,h_pass_completion_percentage,h_opponents_pass_completion_percentage,h_pass_yards_per_attempt,h_opponents_pass_yards_per_attempt,h_plays,h_opponents_plays,h_points_per_play,h_opponents_points_per_play,h_rush_yards_per_attempt,h_opponents_rush_yards_per_attempt,h_yards_per_play,h_opponents_yards_per_play,h_acc,h_american,h_big-12,h_big-ten,h_cusa,h_mac,h_mwc,h_pac-12,h_sec,h_sun-belt,h_simple_rating_system,h_strength_of_schedule
8/31/2021,ARMY,DUKE,14,34,384,-500,13,46,20.8,18.2,0.4,0.7,0.5,0.5,5,23.4,1.5,14.6,0.2,1.1,27.8,176.8,4.2,4.8,22,30.7,60.4,32.4,3.8,1.8,362.3,173.8,390.1,350.6,0.8,1.2,36.3,38.3,0.3,0.623931624,5.56,7.555555556,65.4,46.8,0.46941896,0.47008547,5.998344371,5.364197531,5.964831804,7.491452991,0,0,0,0,0,0,0,0,0,0,3.69,-3,23,16.3,0.5,0.3,0.9,1.2,36.1,25.3,20.5,12.8,1.2,1.2,213.4,179.4,4.8,5.7,20.2,26.5,42.1,38.3,1.7,1.2,171.4,153.2,384.8,332.6,1.5,1.5,41.6,53.5,0.567867036,0.505928854,5.911357341,7.090909091,78.2,50.6,0.33887468,0.399209486,4.071258907,4,4.920716113,6.57312253,1,0,0,0,0,0,0,0,0,0,7.23,3.23
9/1/2021,FLORIDA-ATLANTIC,OKLAHOMA,14,63,711,-1100,18,66,24.3,21.9,0.4,0.4,0.5,1.4,25.8,35.3,16.7,19.7,1.5,1.3,213.1,230.7,5.9,5,22.7,40.6,47.5,39.8,3.7,1.6,285.1,158.9,498.2,389.6,0.9,1.9,52.4,43.2,0.647286822,0.558073654,8.259689922,6.535410765,73.3,70.6,0.553888131,0.321529745,6.002105263,3.992462312,6.796725784,5.518413598,0,0,0,0,1,0,0,0,0,0,8.01,-4.78,25.8,20.4,0.5,0.7,0.4,0.6,30.9,31.8,22.1,19.1,3.4,1.6,361.8,238.4,5.9,5.3,27.1,45.1,39,35.8,2.4,1.7,217.8,156.4,579.6,394.9,0.9,1.3,57.8,45.1,0.715210356,0.600628931,11.70873786,7.496855346,69.9,63.6,0.645207439,0.426100629,5.584615385,4.368715084,8.291845494,6.209119497,0,0,1,0,0,0,0,0,0,0,19.05,5.26
9/1/2021,HOUSTON,RICE,45,27,-2800,1243,-25,56,21,22.8,0.9,0.5,1,1.3,34.3,39.4,23.4,24.6,1.3,0.8,261.3,274.3,6,6.6,23.8,28.3,37.2,39.3,2.1,1.6,166.8,147.9,428.2,422.2,1.9,1.8,53.8,53.1,0.682215743,0.624365482,7.618075802,6.961928934,71.5,78.8,0.395804196,0.302030457,4.483870968,3.763358779,5.988811189,5.35786802,0,1,0,0,0,0,0,0,0,0,2.63,-0.7,17.2,21.8,1.1,0.3,1.3,0.3,20.5,27.8,10.2,19.3,0.5,1.7,144.8,233.3,4.4,4.1,35.8,16.3,40.5,38.5,1.7,2.5,187,192.6,331.8,425.8,2.4,0.5,38.3,33.8,0.497560976,0.694244604,7.063414634,8.392086331,61,55.6,0.267213115,0.643884892,4.617283951,5.002597403,5.439344262,7.658273381,0,0,0,0,1,0,0,0,0,0,-18.37,-4.29
9/1/2021,APPALACHIAN-STATE,PENN-STATE,38,45,1198,-2600,24,53,20.9,17.1,0.6,0.6,0.5,1.4,27.4,29.2,16.5,16.8,2.2,1.1,216.2,205.1,7,7.2,20.2,33.5,40.8,35.3,2.1,1.1,223.6,137.6,439.8,342.7,1.1,2,63.9,60.7,0.602189781,0.575342466,7.890510949,7.023972603,68.2,58.4,0.491202346,0.345890411,5.480392157,3.898016997,6.448680352,5.868150685,0,0,0,0,0,0,0,0,0,1,0.59,-7.72,22.8,17.4,0.2,1.2,0.8,0.8,35.2,34.5,23.2,20.2,2.5,0.9,290.2,211.5,4.2,6.2,16.5,41.1,34.7,34.6,2.8,1.1,170.2,119.4,460.3,330.8,1,1.9,37.7,57.8,0.659090909,0.585507246,8.244318182,6.130434783,69.9,69,0.587982833,0.239130435,4.904899135,3.450867052,6.585121602,4.794202899,0,0,0,1,0,0,0,0,0,0,21.62,6.31
9/1/2021,MASSACHUSETTS,BOSTON-COLLEGE,21,55,837,-1400,20,62,21.7,19,0.9,0.6,0.5,1.1,37.3,30.3,22.7,16.2,2.2,1.4,297.5,207,6.6,7.3,31.8,30.6,34.8,40,1.6,2.3,135.5,197.4,433,404.4,1.4,1.7,56.6,72.7,0.608579088,0.534653465,7.975871314,6.831683168,72.1,60.6,0.424410541,0.524752475,3.893678161,4.935,6.00554785,6.673267327,0,0,0,0,0,0,0,0,0,0,-9.36,-7.03,18.9,18.1,0.6,0.5,0.9,1.4,28.2,31.5,15.2,16.2,1.2,0.8,166.3,191.6,3.6,4.7,22.8,25.7,47.5,39.8,1.8,2,220.4,191.2,386.7,382.8,1.5,1.9,29.8,37.8,0.539007092,0.514285714,5.897163121,6.082539683,75.7,63,0.339498018,0.361904762,4.64,4.804020101,5.108322325,6.076190476,1,0,0,0,0,0,0,0,0,0,9.39,7.08
9/1/2021,KENT-STATE,ILLINOIS,24,31,755,-1200,18,57,14.1,20.1,0.9,0.6,1.3,1,19.5,25.1,9.5,14.1,0.7,1.6,122.7,195.1,7.8,6.7,35.1,12.8,43.2,40.4,0.8,2.6,152.5,216,275.2,411.1,2.2,1.6,74.6,55.1,0.487179487,0.561752988,6.292307692,7.772908367,62.7,50.2,0.20414673,0.699203187,3.530092593,5.346534653,4.389154705,8.189243028,0,0,0,0,0,1,0,0,0,0,-17.66,-1.75,14.5,22.4,0.6,0.8,1.6,0.8,28.3,28.3,14,16.8,0.7,1.7,174.8,199.9,7.1,6.3,31.5,15.4,32.2,45.7,0.9,2.3,105.6,218.5,280.4,418.4,2.2,1.6,64,58.6,0.494699647,0.593639576,6.176678445,7.06360424,60.5,56.6,0.254545455,0.556537102,3.279503106,4.781181619,4.634710744,7.392226148,0,0,0,1,0,0,0,0,0,0,-7.87,5.38
9/1/2021,TEXAS-STATE,RUTGERS,7,35,492,-675,16,47,19.3,20.8,1.2,0.8,0.8,0,31.2,33.1,17.9,20.8,1.3,1.8,205.7,297.3,4.4,7.3,33.6,17.3,40,37.8,0.9,1.8,134.1,141.9,339.8,439.2,2,0.8,38.2,65,0.573717949,0.628398792,6.592948718,8.981873112,71.2,66.2,0.242977528,0.50755287,3.3525,3.753968254,4.77247191,6.634441088,0,0,0,0,0,0,0,0,0,1,-19.31,-7.31,13.8,20.3,0.8,0.3,0.9,1,22.9,30.1,11.3,17.2,0.6,1.6,115.6,216.8,5.9,6.8,28.3,18,36.4,39.3,1.6,1.8,148.6,182.5,264.2,399.3,1.7,1.3,50.1,57.3,0.493449782,0.571428571,5.048034934,7.202657807,59.3,60.2,0.303541315,0.470099668,4.082417582,4.643765903,4.455311973,6.632890365,0,0,0,1,0,0,0,0,0,0,-2.27,6.15
9/1/2021,INDIANA,FLORIDA-INTERNATIONAL,38,28,-499,383,-13,56,21,17.5,0.6,0.7,1.1,0.4,41.8,27.7,25.5,15.1,2.1,1.5,265.7,179.7,5.9,7.6,25.3,26.8,37.4,41.4,0.9,1.5,130.1,160.4,395.8,340.1,1.7,1.1,58.9,65.5,0.610047847,0.545126354,6.35645933,6.487364621,79.2,55.4,0.338383838,0.4566787,3.478609626,3.874396135,4.997474747,6.13898917,0,0,0,1,0,0,0,0,0,0,4.74,4.9,20.7,22.5,0.8,0.8,0.8,0.5,30.5,32.2,19.4,21,1.5,1.8,233.2,243.6,6.5,5.4,28.5,25.6,38,36.8,1.5,1.8,159.2,172,392.3,415.6,1.6,1.4,64.9,46.2,0.636065574,0.652173913,7.645901639,7.565217391,68.5,64.4,0.373722628,0.442546584,4.189473684,4.673913043,5.727007299,6.453416149,0,0,0,0,1,0,0,0,0,0,-6.75,-6.36
9/1/2021,NORTHERN-ILLINOIS,IOWA,7,33,274,-340,10,46,20.3,17,1,0.5,0.8,1.2,31.2,32.8,17.8,18.6,1.9,1.2,199.9,218.5,6.2,6,22,28.9,42.5,40.5,1.4,1.1,179.8,120,379.8,338.5,1.8,1.7,55.5,62.1,0.570512821,0.567073171,6.407051282,6.661585366,73.7,65.6,0.392130258,0.335365854,4.230588235,2.962962963,5.153324288,5.160060976,0,0,0,0,0,1,0,0,0,0,0.91,-4.32,17.4,18.8,1,0.4,0.5,1.6,27.3,35.3,15.3,19.8,2.1,1.5,189.8,212.8,5.1,6.1,19.9,28.2,37,35,1.3,0.8,139.2,144.6,329.1,357.5,1.5,2,41.1,54.7,0.56043956,0.560906516,6.952380952,6.028328612,64.3,70.6,0.438569207,0.281869688,3.762162162,4.131428571,5.118195956,5.063739377,0,0,0,1,0,0,0,0,0,0,14.66,8.74
9/1/2021,TEXAS,MARYLAND,29,34,-448,350,-12,54,20.5,17.6,0.5,0.8,0.8,1.2,38.2,34.9,22.9,20.1,1.4,1.3,258.8,258.8,7.1,6.8,21.2,29.5,38.9,35.5,1.8,1.1,140,107.8,398.8,366.6,1.4,2,66.8,52,0.59947644,0.575931232,6.77486911,7.415472779,77.1,69.8,0.382619974,0.303724928,3.598971722,3.036619718,5.172503243,5.252148997,0,0,1,0,0,0,0,0,0,0,8.21,3.91,16.8,23.7,0.5,0.5,0.7,0.8,26.5,33.8,14.6,19.9,1.3,1.9,161.7,228.6,6.9,5.8,37.1,24.1,36.3,40.8,1.6,2.4,161.7,190.8,323.3,419.4,1.2,1.3,64.5,57.5,0.550943396,0.588757396,6.101886792,6.763313609,62.8,67.6,0.383757962,0.548816568,4.454545455,4.676470588,5.148089172,6.204142012,0,0,0,1,0,0,0,0,0,0,1.03,9.78
