date,away,home,away_score,home_score,away_ml,home_ml,spread,o/u,a_first_downs,a_opponents_first_downs,a_fumbles_lost,a_opponents_fumbles_lost,a_interceptions,a_opponents_interceptions,a_pass_attempts,a_opponents_pass_attempts,a_pass_completions,a_opponents_pass_completions,a_pass_touchdowns,a_opponents_pass_touchdowns,a_pass_yards,a_opponents_pass_yards,a_penalties,a_opponents_penalties,a_points_against_per_game,a_points_per_game,a_rush_attempts,a_opponents_rush_attempts,a_rush_touchdowns,a_opponents_rush_touchdowns,a_rush_yards,a_opponents_rush_yards,a_yards,a_opponents_yards,a_turnovers,a_opponents_turnovers,a_yards_from_penalties,a_opponents_yards_from_penalties,a_pass_completion_percentage,a_opponents_pass_completion_percentage,a_pass_yards_per_attempt,a_opponents_pass_yards_per_attempt,a_plays,a_opponents_plays,a_points_per_play,a_opponents_points_per_play,a_rush_yards_per_attempt,a_opponents_rush_yards_per_attempt,a_yards_per_play,a_opponents_yards_per_play,a_acc,a_american,a_big-12,a_big-ten,a_cusa,a_mac,a_mwc,a_pac-12,a_sec,a_sun-belt,a_simple_rating_system,a_strength_of_schedule,h_first_downs,h_opponents_first_downs,h_fumbles_lost,h_opponents_fumbles_lost,h_interceptions,h_opponents_interceptions,h_pass_attempts,h_opponents_pass_attempts,h_pass_completions,h_opponents_pass_completions,h_pass_touchdowns,h_opponents_pass_touchdowns,h_pass_yards,h_opponents_pass_yards,h_penalties,h_opponents_penalties,h_points_against_per_game,h_points_per_game,h_rush_attempts,h_opponents_rush_attempts,h_rush_touchdowns,h_opponents_rush_touchdowns,h_rush_yards,h_opponents_rush_yards,h_yards,h_opponents_yards,h_turnovers,h_opponents_turnovers,h_yards_from_penalties,h_opponents_yards_from_penalties,h_pass_completion_percentage,h_opponents_pass_completion_percentage,h_pass_yards_per_attempt,h_opponents_pass_yards_per_attempt,h_plays,h_opponents_plays,h_points_per_play,h_opponents_points_per_play,h_rush_yards_per_attempt,h_opponents_rush_yards_per_attempt,h_yards_per_play,h_opponents_yards_per_play,h_acc,h_american,h_big-12,h_big-ten,h_cusa,h_mac,h_mwc,h_pac-12,h_sec,h_sun-belt,h_simple_rating_system,h_strength_of_schedule
09-03,SOUTH-CAROLINA,NORTH-CAROLINA,17,13,-121,101,-1.0,62.0,23.5,22.5,0.8,0.6,0.8,0.8,36.0,30.0,21.3,18.6,2.2,1.2,282.4,220.5,5.4,6.2,30.4,32.6,36.8,39.5,1.8,2.2,161.0,212.2,443.4,432.7,1.6,1.5,46.6,56.6,0.5916666666666667,0.62,7.844444444444444,7.35,72.8,60.0,0.4478021978021978,0.5066666666666666,4.375,5.3721518987341765,6.09065934065934,7.211666666666667,0,0,0,0,0,0,0,0,1,0,6.7,4.93,23.8,24.7,0.8,0.8,1.0,0.9,39.2,30.2,24.2,17.7,2.2,2.4,278.0,257.4,7.6,6.2,39.0,33.2,38.2,46.1,2.0,2.5,151.8,240.5,429.8,497.8,1.8,1.8,63.2,49.7,0.6173469387755102,0.5860927152317881,7.091836734693877,8.52317880794702,77.4,60.4,0.4289405684754522,0.6456953642384106,3.973821989528796,5.216919739696312,5.55297157622739,8.241721854304636,1,0,0,0,0,0,0,0,0,0,0.14,4.29
09-03,FLORIDA-INTERNATIONAL,CENTRAL-FLORIDA,15,14,335,-415,11.0,44.0,16.3,18.0,1.0,1.6,0.8,1.2,26.9,28.2,14.3,15.1,1.3,1.4,168.0,203.3,7.0,5.7,24.8,23.0,40.7,39.5,0.9,1.5,125.2,160.3,293.2,363.7,1.8,2.8,56.1,48.6,0.5315985130111525,0.5354609929078015,6.245353159851302,7.209219858156029,67.6,56.4,0.34023668639053256,0.4397163120567376,3.076167076167076,4.058227848101266,4.337278106508876,6.448581560283688,0,0,0,0,1,0,0,0,0,0,-6.95,-4.04,20.5,17.3,1.1,0.8,1.2,1.4,32.0,33.9,17.9,18.7,1.8,1.3,235.3,194.2,5.8,8.8,19.2,28.1,40.5,32.9,1.5,0.8,128.3,104.3,363.6,298.5,2.2,2.2,54.3,79.8,0.559375,0.551622418879056,7.353125,5.728613569321534,72.5,67.8,0.38758620689655177,0.2831858407079646,3.1679012345679016,3.170212765957447,5.0151724137931035,4.402654867256637,0,1,0,0,0,0,0,0,0,0,1.98,-4.95
09-03,OKLAHOMA-STATE,CENTRAL-MICHIGAN,24,13,-1200,800,-21.0,57.0,18.9,22.0,0.4,0.2,1.3,0.9,30.8,34.8,17.1,21.2,1.5,1.8,242.2,269.2,6.1,6.8,31.2,27.6,38.9,39.8,1.4,1.8,136.6,162.8,378.8,432.0,1.7,1.1,53.8,62.7,0.5551948051948052,0.6091954022988506,7.863636363636363,7.735632183908046,69.7,69.6,0.39598278335724535,0.4482758620689655,3.511568123393316,4.090452261306533,5.434720229555237,6.206896551724139,0,0,1,0,0,0,0,0,0,0,1.1,3.49,22.2,19.1,1.1,0.6,1.0,1.1,29.4,32.5,18.7,19.2,2.1,1.8,242.8,232.5,5.4,5.5,25.2,26.9,38.8,32.8,1.5,1.2,155.2,122.9,398.1,355.5,2.1,1.7,46.5,47.8,0.6360544217687075,0.5907692307692307,8.258503401360546,7.153846153846154,68.19999999999999,65.0,0.39442815249266866,0.38769230769230767,4.0,3.7469512195121957,5.837243401759532,5.469230769230769,0,0,0,0,0,1,0,0,0,0,-5.84,-7.61
09-03,MICHIGAN,UTAH,17,24,180,-210,5.0,44.0,18.5,16.6,0.7,0.4,1.5,0.4,27.2,28.6,15.8,17.1,0.8,1.2,170.2,193.7,3.5,6.0,22.4,20.9,35.4,36.7,1.4,1.1,162.8,117.7,333.0,311.3,2.2,0.8,31.8,56.7,0.5808823529411765,0.5979020979020979,6.25735294117647,6.772727272727272,62.599999999999994,57.2,0.33386581469648563,0.39160839160839156,4.598870056497176,3.20708446866485,5.319488817891374,5.4423076923076925,0,0,0,1,0,0,0,0,0,0,1.82,3.65,19.5,20.8,0.6,0.7,0.6,0.9,29.1,34.6,17.6,20.5,1.5,1.8,197.7,246.6,5.9,5.8,24.9,31.3,43.5,39.0,1.6,0.9,190.4,146.8,388.1,393.5,1.2,1.6,54.0,50.9,0.604810996563574,0.5924855491329479,6.79381443298969,7.127167630057803,72.6,69.2,0.43112947658402206,0.35982658959537567,4.377011494252874,3.7641025641025645,5.3457300275482105,5.686416184971098,0,0,0,0,0,0,0,1,0,0,9.84,5.14
09-03,TEXAS-CHRISTIAN,MINNESOTA,23,17,-725,525,-16.0,57.0,25.5,16.8,0.8,1.1,0.8,2.0,40.7,34.2,25.0,16.6,2.8,1.3,326.2,233.0,6.3,5.5,19.0,46.5,39.2,39.1,2.5,0.7,206.8,108.8,533.0,341.8,1.7,3.1,59.0,50.0,0.6142506142506142,0.48538011695906436,8.014742014742014,6.8128654970760225,79.9,68.4,0.5819774718397998,0.27777777777777773,5.275510204081632,2.782608695652174,6.670838548185231,4.997076023391813,0,0,1,0,0,0,0,0,0,0,18.96,1.57,18.3,19.5,0.8,1.2,0.7,1.2,19.5,31.2,9.8,17.9,0.9,1.5,141.8,193.5,5.3,4.5,24.2,28.4,46.1,36.6,2.5,1.4,215.5,174.7,357.3,368.2,1.5,2.3,46.5,39.1,0.5025641025641026,0.5737179487179487,7.271794871794873,6.201923076923077,65.6,62.4,0.4329268292682927,0.38782051282051283,4.674620390455531,4.773224043715847,5.446646341463415,5.9006410256410255,0,0,0,1,0,0,0,0,0,0,6.74,3.04
09-03,DUKE,TULANE,37,7,-240,200,-5.0,52.0,22.0,21.9,0.5,0.8,0.6,0.8,36.2,32.4,20.6,18.1,1.8,1.1,216.5,206.8,4.9,6.8,21.8,32.4,37.8,43.4,1.8,1.5,181.8,192.9,398.3,399.7,1.2,1.6,38.7,60.4,0.569060773480663,0.558641975308642,5.980662983425414,6.382716049382717,74.0,64.8,0.4378378378378378,0.3364197530864198,4.80952380952381,4.444700460829494,5.382432432432433,6.16820987654321,1,0,0,0,0,0,0,0,0,0,6.64,-0.82,18.8,20.5,0.6,0.9,1.5,1.4,36.9,31.4,20.0,18.3,1.1,1.5,201.3,229.9,7.5,6.3,28.4,16.0,34.9,37.3,0.9,1.3,145.5,157.9,346.8,387.8,2.1,2.3,70.1,58.6,0.5420054200542006,0.5828025477707007,5.455284552845529,7.321656050955415,71.8,62.8,0.22284122562674097,0.45222929936305734,4.169054441260745,4.233243967828419,4.830083565459611,6.17515923566879,0,1,0,0,0,0,0,0,0,0,-11.38,-0.8
09-03,COLORADO,HAWAII,20,28,-276,220,-7.0,60.0,24.7,22.4,0.5,0.7,1.3,0.3,45.4,33.9,29.0,20.3,2.4,2.9,284.1,255.4,7.2,7.2,39.0,28.5,37.6,36.4,1.1,1.8,155.0,204.8,439.1,460.2,1.8,0.9,67.8,68.8,0.6387665198237885,0.5988200589970502,6.257709251101322,7.533923303834809,83.0,67.8,0.3433734939759036,0.5752212389380531,4.122340425531915,5.626373626373627,5.290361445783133,6.787610619469027,0,0,0,0,0,0,0,1,0,0,-3.63,6.45,19.5,21.0,1.0,0.7,1.1,0.8,35.9,32.3,17.6,18.7,1.2,2.0,214.6,245.8,6.2,6.4,26.8,20.9,40.5,41.3,1.2,1.5,149.8,172.3,364.4,418.2,2.1,1.5,50.0,53.7,0.4902506963788301,0.5789473684210527,5.977715877437326,7.609907120743035,76.4,64.6,0.2735602094240837,0.41486068111455116,3.6987654320987655,4.171912832929783,4.769633507853403,6.473684210526316,0,0,0,0,0,0,1,0,0,0,-9.08,-3.62
09-03,WESTERN-KENTUCKY,VANDERBILT,14,12,-130,110,-2.0,60.0,27.0,26.1,0.6,0.8,0.8,1.0,42.8,32.3,29.1,20.5,3.8,2.5,374.3,289.2,5.8,6.5,39.9,44.4,33.0,44.3,1.6,2.5,160.3,220.8,534.6,509.9,1.4,1.8,57.2,57.2,0.6799065420560748,0.6346749226006192,8.745327102803738,8.953560371517028,75.8,64.6,0.5857519788918206,0.6176470588235294,4.857575757575758,4.984198645598195,7.052770448548813,7.893188854489164,0,0,0,0,1,0,0,0,0,0,1.99,-3.01,16.1,21.9,0.8,0.6,1.6,0.5,29.8,28.8,15.0,17.9,1.1,1.6,179.1,218.3,6.1,6.4,33.3,17.2,31.9,41.5,0.6,1.9,109.3,183.8,288.3,402.1,2.4,1.1,52.5,51.3,0.5033557046979865,0.6215277777777777,6.010067114093959,7.579861111111112,61.7,57.6,0.2787682333873582,0.5781249999999999,3.426332288401254,4.428915662650603,4.672609400324149,6.980902777777778,0,0,0,0,0,0,0,0,1,0,-6.97,4.11
09-04,CHARLOTTE,GEORGIA-STATE,23,20,250,-310,7.0,68.0,19.5,21.3,0.9,1.0,1.9,0.8,31.3,33.8,16.3,19.9,1.0,2.1,173.5,229.0,5.3,6.1,36.3,17.5,46.9,41.8,0.8,1.8,163.6,193.0,337.1,422.0,2.8,1.8,54.9,54.7,0.5207667731629393,0.5887573964497042,5.543130990415335,6.775147928994083,78.2,67.6,0.2237851662404092,0.5369822485207101,3.488272921108742,4.617224880382776,4.31074168797954,6.242603550295859,0,0,0,0,1,0,0,0,0,0,-19.53,-7.03,20.3,25.6,1.0,0.4,1.5,0.3,37.2,27.2,22.0,18.5,1.9,1.9,279.0,193.7,5.3,5.5,43.3,22.7,32.4,48.5,1.1,3.4,97.8,303.4,376.8,497.1,2.5,0.7,43.4,50.5,0.5913978494623655,0.6801470588235294,7.499999999999999,7.1213235294117645,69.6,54.4,0.32614942528735635,0.7959558823529411,3.0185185185185186,6.255670103092783,5.413793103448277,9.137867647058824,0,0,0,0,0,0,0,0,0,1,-20.41,-4.5
09-04,MICHIGAN-STATE,WESTERN-MICHIGAN,37,24,-900,600,-16.0,55.0,24.7,15.3,0.5,1.2,0.7,1.4,30.8,34.2,18.2,18.0,2.0,1.3,265.6,227.3,6.2,5.6,21.5,43.0,45.7,27.9,3.4,1.4,235.2,88.5,500.8,315.8,1.2,2.6,58.0,44.7,0.5909090909090908,0.5263157894736842,8.623376623376624,6.646198830409356,76.5,68.4,0.5620915032679739,0.31432748538011696,5.146608315098468,3.1720430107526885,6.54640522875817,4.616959064327485,0,0,0,1,0,0,0,0,0,0,16.07,1.68,20.7,18.9,0.8,0.7,0.8,1.0,28.6,31.6,19.5,17.0,2.0,1.4,267.3,216.2,5.3,5.5,24.9,33.8,38.7,36.2,2.2,1.5,170.8,153.5,438.2,369.7,1.5,1.7,51.2,47.8,0.6818181818181818,0.5379746835443038,9.346153846153847,6.841772151898733,67.30000000000001,63.2,0.5022288261515601,0.39398734177215183,4.41343669250646,4.240331491712707,6.5111441307578,5.849683544303797,0,0,0,0,0,1,0,0,0,0,-1.79,-7.79
